Fecha instalacion,Hora,Código grabadora (Gxxx),Punto de muestreo (ANH),Latitud/Longitud (grados decimales),Elevación,Presión sonora 1,Presión sonora 2,Presión sonora 3,Presión sonora 4,foto del hábitat,Localidad,latitud,longitud,Fecha recogida,Estado del Audiomoth,Descripción de la Estación de Muestreo: cambios significativos en el sitio,parentEven,Cobertura,eventDate
2021-11-09,13:57:00,G001,ANH 64,"7.3723004,-73.8630135",59.67,54.8,45.8,40.1,39.8,"file:///data/user/0/com.luckydroid.droidbase/files/files/1405084042/2021-11-09 13.58.46.jpg, file:///data/user/0/com.luckydroid.droidbase/files/files/1405084042/2021-11-09 13.58.58.jpg","plataforma Kale, vereda CENTRO, predio AGUAS NEGRAS, ANH 64",7.3723004,-73.8630135,2021-11-29,Buena,Creció pasto alrededor,ANH_64,Palma,2021-11-09/2021-11-29
2021-11-11,12:22:00,G002,ANH 166,"7.4057009,-73.8656118",58.0,38.5,54.4,63.9,55.5,"file:///data/user/0/com.luckydroid.droidbase/files/files/1405084042/2021-11-11 12.22.50.jpg, file:///data/user/0/com.luckydroid.droidbase/files/files/1405084042/2021-11-11 12.25.10.jpg","plataforma Kale, vereda CENTRO, predio LA ESMERALDA LO 1, ANH 166",7.4057009,-73.8656118,2021-11-29,Buena,Sin cambios significativos,ANH_166,Herbazales,2021-11-11/2021-11-29
2021-11-10,10:54:00,G003,ANH 215,"7.3563088,-73.7606951",72.0,54.2,45.5,37.4,38.5,"file:///data/user/0/com.luckydroid.droidbase/files/files/1405084042/2021-11-10 10.54.49.jpg, file:///data/user/0/com.luckydroid.droidbase/files/files/1405084042/2021-11-10 10.57.04.jpg","plataforma Caracterización, vereda SAN CLAVER, predio SAMARACANDA, ANH 215",7.3563088,-73.7606951,2021-11-30,"Buena, sin membrana",sin cambios significativos,ANH_215,Bosque Ripario,2021-11-10/2021-11-30
2021-11-08,15:36:00,G004,ANH 229,"7.3346815,-73.8529856",78.36,61.4,54.7,51.4,47.5,file:///data/user/0/com.luckydroid.droidbase/files/files/1405084042/2021-11-08 15.38.41.jpg,"plataforma Kale, vereda CENTRO, predio LAS DELICIAS, ANH 229",7.3346815,-73.8529856,2021-11-28,"Buena, sin membrana",Sin cambios significativos,ANH_229,Palma,2021-11-08/2021-11-28
2021-11-08,09:51:00,G005,ANH 233,"7.2846546,-73.8394861",110.25,51.5,50.5,53.1,47.5,file:///data/user/0/com.luckydroid.droidbase/files/files/1405084042/2021-11-08 09.53.43.jpg,"plataforma Platero, vereda CENTRO, predio SAN CARLOS, ANH 233",7.2846546,-73.8394861,2021-11-28,Buena,Sin cambios significativos,ANH_233,Bosque Ripario,2021-11-08/2021-11-28
2021-11-10,09:01:00,G006,ANH 393,"7.3405035,-73.7247761",82.56,39.3,47.5,43.5,37.8,"file:///data/user/0/com.luckydroid.droidbase/files/files/1405084042/2021-11-10 09.03.50.jpg, file:///data/user/0/com.luckydroid.droidbase/files/files/1405084042/2021-11-10 09.04.18.jpg","plataforma Caracterización, vereda COMUNEROS, predio TARAPACA, ANH 393",7.3405035,-73.7247761,2021-11-30,"Buena, sin membrana",Sin cambios significativos,ANH_393,Bosque Ripario,2021-11-10/2021-11-30
2021-11-09,10:55:00,G007,ANH 38,"7.2490965,-73.8951989",83.0,47.6,51.2,48.5,49.4,"file:///data/user/0/com.luckydroid.droidbase/files/files/1405084042/2021-11-09 10.55.11.jpg, file:///data/user/0/com.luckydroid.droidbase/files/files/1405084042/2021-11-09 10.57.13.jpg","plataforma Platero, vereda EL PEDRAL, predio PALMAS BUCARELIA, ANH 38",7.2490965,-73.8951989,2021-12-01,"Buena, sin membrana",sin cambios significativos,ANH_38,Pastos,2021-11-09/2021-12-01
2021-11-08,10:47:00,G008,ANH 211,"7.3810142,-73.8013801",85.0,37.9,37.9,55.7,43.6,"file:///data/user/0/com.luckydroid.droidbase/files/files/1405084042/2021-11-08 10.46.57.jpg, file:///data/user/0/com.luckydroid.droidbase/files/files/1405084042/2021-11-08 10.49.24.jpg","plataforma Kale, vereda SAN CLAVER, predio TERRENO, ANH 211",7.3810142,-73.8013801,2021-11-27,"Buena, sin membrana",Sin cambios en la vegetación,ANH_211,Palma,2021-11-08/2021-11-27
2021-11-10,11:53:00,G009,ANH 363,"7.3713355,-73.7757708",72.0,58.9,48.6,62.0,63.5,"file:///data/user/0/com.luckydroid.droidbase/files/files/1405084042/2021-11-10 11.51.52.jpg, file:///data/user/0/com.luckydroid.droidbase/files/files/1405084042/2021-11-10 11.55.02.jpg","plataforma Kale, vereda SAN CLAVER, predio POTOSI, ANH 363",7.3713355,-73.7757708,2021-11-30,No está,sin cambios significativos,ANH_363,Bosque Ripario,2021-11-10/2021-11-30
2021-11-04,11:30:00,G010,ANH 99,"7.229472,-73.8314469",91.0,50.6,52.7,57.1,49.8,"file:///data/user/0/com.luckydroid.droidbase/files/files/1405084042/2021-11-04 11.32.40.jpg, file:///data/user/0/com.luckydroid.droidbase/files/files/1405084042/2021-11-04 11.33.10.jpg","plataforma Platero, vereda EL PEDRAL, predio LA MEJORA, ANH 99",7.229472,-73.8314469,2021-11-24,"Apagamos equipo, sin membrana del micrófono",sin cambios en la vegetación,ANH_99,Bosque Ripario,2021-11-04/2021-11-24
