Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	TIPO	ID	DETERMINACION
1	Waveform 1	1	0.000000000	59.999994792	1226.800	2070.300	BIO	HERPET	
1	Spectrogram 1	1	0.000000000	59.999994792	1226.800	2070.300	BIO	HERPET	
2	Waveform 1	1	0.000000000	59.999994792	1533.500	3067.100	BIO	AVEVOC	NYCALB
2	Spectrogram 1	1	0.000000000	59.999994792	1533.500	3067.100	BIO	AVEVOC	NYCALB
3	Waveform 1	1	0.000000000	59.999994792	3143.800	4370.600	BIO	INSECT	
3	Spectrogram 1	1	0.000000000	59.999994792	3143.800	4370.600	BIO	INSECT	
4	Waveform 1	1	0.000000000	59.999994792	4830.700	6134.200	BIO	INSECT	
4	Spectrogram 1	1	0.000000000	59.999994792	4830.700	6134.200	BIO	INSECT	
5	Waveform 1	1	0.000000000	59.999994792	6977.600	8127.800	BIO	INSECT	
5	Spectrogram 1	1	0.000000000	59.999994792	6977.600	8127.800	BIO	INSECT	
6	Waveform 1	1	0.000000000	59.999994792	9124.600	14568.700	BIO	INSECT	
6	Spectrogram 1	1	0.000000000	59.999994792	9124.600	14568.700	BIO	INSECT	
7	Waveform 1	1	0.000000000	59.999994792	17022.400	22849.800	BIO	INSECT	
7	Spectrogram 1	1	0.000000000	59.999994792	17022.400	22849.800	BIO	INSECT	
8	Waveform 1	1	38.493830272	40.894398246	33917.552	49756.744	BIO	MURCIE	MOLOSSI
8	Spectrogram 1	1	38.493830272	40.894398246	33917.552	49756.744	BIO	MURCIE	MOLOSSI
