Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Center Freq (Hz)	TIPO	ID	DETERMINACION
1	Waveform 1	1	0.000000000	59.867925477	4830.671	10734.824		BIO	INSECT	
1	Spectrogram 1	1	0.000000000	59.867925477	4830.671	10734.824	7125.000	BIO	INSECT	
2	Waveform 1	1	15.166541121	16.842843034	920.128	2760.383		BIO	AVEVOC	NYCALB
2	Spectrogram 1	1	15.166541121	16.842843034	920.128	2760.383	1875.000	BIO	AVEVOC	NYCALB
3	Waveform 1	1	24.266465794	25.144528701	996.805	2453.674		BIO	AVEVOC	NYCALB
3	Spectrogram 1	1	24.266465794	25.144528701	996.805	2453.674	1875.000	BIO	AVEVOC	NYCALB
4	Waveform 1	1	37.836528902	38.794415709	843.450	2300.319		BIO	AVEVOC	NYCALB
4	Spectrogram 1	1	37.836528902	38.794415709	843.450	2300.319	1875.000	BIO	AVEVOC	NYCALB
5	Waveform 1	1	44.940856058	45.978566767	766.773	2453.674		BIO	AVEVOC	NYCALB
5	Spectrogram 1	1	44.940856058	45.978566767	766.773	2453.674	1875.000	BIO	AVEVOC	NYCALB
6	Waveform 1	1	56.275849949	57.153912856	690.096	2530.351		BIO	AVEVOC	NYCALB
6	Spectrogram 1	1	56.275849949	57.153912856	690.096	2530.351	1875.000	BIO	AVEVOC	NYCALB
8	Waveform 1	1	0.000000000	59.886620090	1993.610	2913.738		BIO	INSECT	
8	Spectrogram 1	1	0.000000000	59.886620090	1993.610	2913.738	2250.000	BIO	INSECT	
9	Waveform 1	1	0.795454476	59.204540315	22939.759	28144.578			INDETE	
9	Spectrogram 1	1	0.795454476	59.204540315	22939.759	28144.578	25875.000		INDETE	
