Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Center Freq (Hz)	Tipo	ID	Determinacion	Feeding buzz
1	Waveform 1	1	0.328250702	59.999994792	5367.412	11424.920		BIO	INSECT		
1	Spectrogram 1	1	0.328250702	59.999994792	5367.412	11424.920	9375.000	BIO	INSECT		
2	Waveform 1	1	0.082062675	59.999994792	3450.479	4984.026		BIO	INSECT		
2	Spectrogram 1	1	0.082062675	59.999994792	3450.479	4984.026	4125.000	BIO	INSECT		
3	Waveform 1	1	0.000000000	59.999994792	1763.578	3297.125		BIO	HERPET		
3	Spectrogram 1	1	0.000000000	59.999994792	1763.578	3297.125	2250.000	BIO	HERPET		
4	Waveform 1	1	0.000000000	59.905753051	536.741	1610.224		BIO	HERPET		
4	Spectrogram 1	1	0.000000000	59.905753051	536.741	1610.224	1125.000	BIO	HERPET		
5	Waveform 1	1	1.035181990	4.653789630	36736.277	45254.834		BIO	MURCIE	SAC_SP	
5	Spectrogram 1	1	1.035181990	4.653789630	36736.277	45254.834	39750.000	BIO	MURCIE	SAC_SP	
6	Waveform 1	1	18.691692326	21.469110645	51595.028	60113.585		BIO	MURCIE	SACCAN	
6	Spectrogram 1	1	18.691692326	21.469110645	51595.028	60113.585	55500.000	BIO	MURCIE	SACCAN	
7	Waveform 1	1	26.651064627	29.370247159	52317.766	59282.472		BIO	MURCIE	SACCAN	
7	Spectrogram 1	1	26.651064627	29.370247159	52317.766	59282.472	55875.000	BIO	MURCIE	SACCAN	
8	Waveform 1	1	26.480337361	27.450727757	41390.851	53061.440		BIO	MURCIE	MOLO_SP	
8	Spectrogram 1	1	26.480337361	27.450727757	41390.851	53061.440	45375.000	BIO	MURCIE	MOLO_SP	
9	Waveform 1	1	33.407728178	39.863693527	45343.793	59649.675		BIO	MURCIE	SACCAN	YES
9	Spectrogram 1	1	33.407728178	39.863693527	45343.793	59649.675	55500.000	BIO	MURCIE	SACCAN	YES
10	Waveform 1	1	42.054673470	53.207016252	47790.851	58896.734		BIO	MURCIE	SACCAN	YES
10	Spectrogram 1	1	42.054673470	53.207016252	47790.851	58896.734	56250.000	BIO	MURCIE	SACCAN	YES
11	Waveform 1	1	53.787773232	56.087251140	30528.969	48034.852		BIO	MURCIE	MOL_SP	
11	Spectrogram 1	1	53.787773232	56.087251140	30528.969	48034.852	35250.000	BIO	MURCIE	MOL_SP	
12	Waveform 1	1	53.307726666	57.008988402	51234.852	59140.734		BIO	MURCIE	SACCAN	
12	Spectrogram 1	1	53.307726666	57.008988402	51234.852	59140.734	55500.000	BIO	MURCIE	SACCAN	
