Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Center Freq (Hz)	Tipo	Id	Determinación
1	Waveform 1	1	0.000000000	59.999994792	0.000	879.581		ANT	TRAMOT	
1	Spectrogram 1	1	0.000000000	59.999994792	0.000	879.581	375.000	ANT	TRAMOT	
2	Waveform 1	1	0.682926770	25.512192907	2387.435	3832.461		BIO	AVEVOC	
2	Spectrogram 1	1	0.682926770	25.512192907	2387.435	3832.461	3375.000	BIO	AVEVOC	
3	Waveform 1	1	42.390240223	59.219507055	2450.262	4020.942		BIO	AVEVOC	
3	Spectrogram 1	1	42.390240223	59.219507055	2450.262	4020.942	3000.000	BIO	AVEVOC	
4	Waveform 1	1	45.121947303	53.999995313	1759.162	4272.251		BIO	AVEVOC	MILCHI
4	Spectrogram 1	1	45.121947303	53.999995313	1759.162	4272.251	3000.000	BIO	AVEVOC	MILCHI
5	Waveform 1	1	0.000000000	59.999994792	4523.560	5277.487		BIO	INSECT	
5	Spectrogram 1	1	0.000000000	59.999994792	4523.560	5277.487	4875.000	BIO	INSECT	
6	Waveform 1	1	12.243901376	25.951217259	5403.141	6157.068		BIO	INSECT	
6	Spectrogram 1	1	12.243901376	25.951217259	5403.141	6157.068	5625.000	BIO	INSECT	
7	Waveform 1	1	0.000000000	59.999994792	6910.995	7413.613		BIO	INSECT	
7	Spectrogram 1	1	0.000000000	59.999994792	6910.995	7413.613	7125.000	BIO	INSECT	
8	Waveform 1	1	0.000000000	59.999994792	5654.450	6471.204		BIO	INSECT	
8	Spectrogram 1	1	0.000000000	59.999994792	5654.450	6471.204	6000.000	BIO	INSECT	
9	Waveform 1	1	0.243902418	59.999994792	7602.094	8167.539		BIO	INSECT	
9	Spectrogram 1	1	0.243902418	59.999994792	7602.094	8167.539	7875.000	BIO	INSECT	
10	Waveform 1	1	0.000000000	59.999994792	8041.885	10303.665		BIO	INSECT	
10	Spectrogram 1	1	0.000000000	59.999994792	8041.885	10303.665	9375.000	BIO	INSECT	
11	Waveform 1	1	0.000000000	59.999994792	14450.262	21062.573		BIO	INSECT	
11	Spectrogram 1	1	0.000000000	59.999994792	14450.262	21062.573	18375.000	BIO	INSECT	
12	Waveform 1	1	1.024390155	59.999994792	10570.427	13334.824		BIO	INSECT	
12	Spectrogram 1	1	1.024390155	59.999994792	10570.427	13334.824	11250.000	BIO	INSECT	
