Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Center Freq (Hz)	Tipo	Id	Determinación
1	Waveform 1	1	14.901221660	23.085604769	0.000	536.741		BIO	AVEVOC	
1	Spectrogram 1	1	14.901221660	23.085604769	0.000	536.741	375.000	BIO	AVEVOC	
2	Waveform 1	1	2.370648901	46.227653560	230.032	690.096		BIO	AVEVOC	ZENAUR
2	Spectrogram 1	1	2.370648901	46.227653560	230.032	690.096	375.000	BIO	AVEVOC	ZENAUR
3	Waveform 1	1	0.000000000	59.999994792	3297.125	3987.220		BIO	INSECT	
3	Spectrogram 1	1	0.000000000	59.999994792	3297.125	3987.220	3750.000	BIO	INSECT	
4	Waveform 1	1	0.000000000	59.999994792	6134.185	6824.281		BIO	INSECT	
4	Spectrogram 1	1	0.000000000	59.999994792	6134.185	6824.281	6750.000	BIO	INSECT	
5	Waveform 1	1	0.000000000	59.999994792	7054.313	8127.796		BIO	INSECT	
5	Spectrogram 1	1	0.000000000	59.999994792	7054.313	8127.796	7500.000	BIO	INSECT	
6	Waveform 1	1	0.000000000	59.999994792	7974.441	8511.182		BIO	INSECT	
6	Spectrogram 1	1	0.000000000	59.999994792	7974.441	8511.182	8250.000	BIO	INSECT	
7	Waveform 1	1	31.890872114	34.543741122	10581.470	18172.524		BIO	INSECT	
7	Spectrogram 1	1	31.890872114	34.543741122	10581.470	18172.524	15750.000	BIO	INSECT	
8	Waveform 1	1	3.838193458	58.193786106	8511.182	11654.952		BIO	INSECT	
8	Spectrogram 1	1	3.838193458	58.193786106	8511.182	11654.952	8625.000	BIO	INSECT	
9	Waveform 1	1	1.015992386	56.895573612	19936.102	23233.227		BIO	INSECT	
9	Spectrogram 1	1	1.015992386	56.895573612	19936.102	23233.227	21750.000	BIO	INSECT	
10	Waveform 1	1	28.899338978	45.945433453	12728.435	13571.885		BIO	INSECT	
10	Spectrogram 1	1	28.899338978	45.945433453	12728.435	13571.885	13125.000	BIO	INSECT	
