Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Center Freq (Hz)	Tipo	Id	Determianción
1	Waveform 1	1	0.000000000	59.951214308	0.000	628.272		BIO	TRAMOT	
1	Spectrogram 1	1	0.000000000	59.951214308	0.000	628.272	0.000	BIO	TRAMOT	
2	Waveform 1	1	0.000000000	59.902433825	3015.707	4397.906		BIO	INSECT	
2	Spectrogram 1	1	0.000000000	59.902433825	3015.707	4397.906	3750.000	BIO	INSECT	
3	Waveform 1	1	0.000000000	59.951214308	4272.251	5968.586		BIO	INSECT	
3	Spectrogram 1	1	0.000000000	59.951214308	4272.251	5968.586	5250.000	BIO	INSECT	
4	Waveform 1	1	0.243902418	59.951214308	6471.204	7099.476		BIO	INSECT	
4	Spectrogram 1	1	0.243902418	59.951214308	6471.204	7099.476	6750.000	BIO	INSECT	
5	Waveform 1	1	0.097560967	59.853653341	7350.785	7916.230		BIO	INSECT	
5	Spectrogram 1	1	0.097560967	59.853653341	7350.785	7916.230	7500.000	BIO	INSECT	
6	Waveform 1	1	0.000000000	59.951214308	8167.539	9361.257		BIO	INSECT	
6	Spectrogram 1	1	0.000000000	59.951214308	8167.539	9361.257	8625.000	BIO	INSECT	
7	Waveform 1	1	26.878046447	28.048778053	7727.749	26198.953		BIO	INSECT	
7	Spectrogram 1	1	26.878046447	28.048778053	7727.749	26198.953	10125.000	BIO	INSECT	
8	Waveform 1	1	44.585361983	45.170727786	8167.539	22680.628		BIO	INSECT	
8	Spectrogram 1	1	44.585361983	45.170727786	8167.539	22680.628	15375.000	BIO	INSECT	
9	Waveform 1	1	0.063920449	8.911476559	32215.306	41803.194			INSECT	
9	Spectrogram 1	1	0.063920449	8.911476559	32215.306	41803.194	36000.000		INSECT	
10	Waveform 1	1	42.996027794	45.638073019	29147.181	53308.660		BIO	MURCIE	MOL_SP
10	Spectrogram 1	1	42.996027794	45.638073019	29147.181	53308.660	36375.000	BIO	MURCIE	MOL_SP
