Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Center Freq (Hz)	Tipo	Id	Determimación
1	Waveform 1	1	0.795454476	59.999994792	3310.345	4514.107		BIO	AVEVOC	
1	Spectrogram 1	1	0.795454476	59.999994792	3310.345	4514.107	4125.000	BIO	AVEVOC	
2	Waveform 1	1	44.034087087	48.011359469	1504.702	2482.759		BIO	AVEVOC	FURNAR
2	Spectrogram 1	1	44.034087087	48.011359469	1504.702	2482.759	2250.000	BIO	AVEVOC	FURNAR
3	Waveform 1	1	37.556814922	53.920449865	2407.524	3009.404		BIO	INSECT	
3	Spectrogram 1	1	37.556814922	53.920449865	2407.524	3009.404	3000.000	BIO	INSECT	
4	Waveform 1	1	0.227272708	59.999994792	6620.690	8275.862		BIO	INSECT	
4	Spectrogram 1	1	0.227272708	59.999994792	6620.690	8275.862	7500.000	BIO	INSECT	
5	Waveform 1	1	0.397727238	59.999994792	1053.292	22946.708		GEO	LLUVIA	
5	Spectrogram 1	1	0.397727238	59.999994792	1053.292	22946.708	7875.000	GEO	LLUVIA	
6	Waveform 1	1	2.645355015	4.559743384	35385.429	46458.420		BIO	MURCIE	SAC_SP
6	Spectrogram 1	1	2.645355015	4.559743384	35385.429	46458.420	40875.000	BIO	MURCIE	SAC_SP
7	Waveform 1	1	58.345000045	59.414545947	34924.926	46730.535		BIO	MURCIE	SAC_SP
7	Spectrogram 1	1	58.345000045	59.414545947	34924.926	46730.535	39000.000	BIO	MURCIE	SAC_SP
8	Waveform 1	1	51.279807699	52.287205088	34924.926	45992.685		BIO	MURCIE	SAC_SP
8	Spectrogram 1	1	51.279807699	52.287205088	34924.926	45992.685	39375.000	BIO	MURCIE	SAC_SP
