Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Center Freq (Hz)	Tipo	Id	Determinación	Fedding buzz
1	Waveform 1	1	0.000000000	59.999994792	7130.990	8894.569		BIO	INSECT		
1	Spectrogram 1	1	0.000000000	59.999994792	7130.990	8894.569	8250.000	BIO	INSECT		
2	Waveform 1	1	0.000000000	59.999994792	0.000	3067.093		BIO	HERPET		
2	Spectrogram 1	1	0.000000000	59.999994792	0.000	3067.093	375.000	BIO	HERPET		
3	Waveform 1	1	0.000000000	59.943550770	3527.157	4523.962		BIO	INSECT		
3	Spectrogram 1	1	0.000000000	59.943550770	3527.157	4523.962	4125.000	BIO	INSECT		
4	Waveform 1	1	0.000000000	59.999994792	4600.639	5290.735		BIO	INSECT		
4	Spectrogram 1	1	0.000000000	59.999994792	4600.639	5290.735	4875.000	BIO	INSECT		
5	Waveform 1	1	12.248352653	59.999994792	5290.735	5980.831		BIO	INSECT		
5	Spectrogram 1	1	12.248352653	59.999994792	5290.735	5980.831	5625.000	BIO	INSECT		
6	Waveform 1	1	0.000000000	59.999994792	6134.185	7054.313		BIO	INSECT		
6	Spectrogram 1	1	0.000000000	59.999994792	6134.185	7054.313	6750.000	BIO	INSECT		
7	Waveform 1	1	15.578549918	41.599243802	10044.728	19169.329		BIO	INSECT		
7	Spectrogram 1	1	15.578549918	41.599243802	10044.728	19169.329	16125.000	BIO	INSECT		
8	Waveform 1	1	52.041387769	55.145808948	10964.856	29672.902		BIO	INSECT		
8	Spectrogram 1	1	52.041387769	55.145808948	10964.856	29672.902	17250.000	BIO	INSECT		
9	Waveform 1	1	0.000000000	59.774218706	15412.141	16792.332		BIO	INSECT		
9	Spectrogram 1	1	0.000000000	59.774218706	15412.141	16792.332	16125.000	BIO	INSECT		
10	Waveform 1	1	8.489599891	14.647811029	24012.483	67848.671		BIO	MURCIE	MOLOTE	YES
10	Spectrogram 1	1	8.489599891	14.647811029	24012.483	67848.671	44625.000	BIO	MURCIE	MOLOTE	YES
11	Waveform 1	1	14.690951692	16.575516147	38753.038	50669.671		BIO	MURCIE	MOLOTE	
11	Spectrogram 1	1	14.690951692	16.575516147	38753.038	50669.671	45750.000	BIO	MURCIE	MOLOTE	
12	Waveform 1	1	15.651112677	19.466093447	47264.919	58755.958		BIO	MURCIE	SACCAN	YES
12	Spectrogram 1	1	15.651112677	19.466093447	47264.919	58755.958	56250.000	BIO	MURCIE	SACCAN	YES
13	Waveform 1	1	16.726330585	17.449395648	30469.434	43875.647		BIO	MURCIE	MOL_SP	YES
13	Spectrogram 1	1	16.726330585	17.449395648	30469.434	43875.647	34500.000	BIO	MURCIE	MOL_SP	YES
14	Waveform 1	1	19.546675270	32.024213196	48557.181	58558.641		BIO	MURCIE	SACCAN	YES
14	Spectrogram 1	1	19.546675270	32.024213196	48557.181	58558.641	55875.000	BIO	MURCIE	SACCAN	YES
15	Waveform 1	1	21.927157593	23.707205730	28639.495	46110.765		BIO	MURCIE	MOL_SP	
15	Spectrogram 1	1	21.927157593	23.707205730	28639.495	46110.765	32625.000	BIO	MURCIE	MOL_SP	
16	Waveform 1	1	27.883018294	29.196082863	39941.486	47615.467		BIO	MURCIE	SAC_SP	
16	Spectrogram 1	1	27.883018294	29.196082863	39941.486	47615.467	42750.000	BIO	MURCIE	SAC_SP	
