Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Center Freq (Hz)	Tipo	Id	Determinación	Feeding buzz
1	Waveform 1	1	0.000000000	59.999994792	0.000	2300.319		BIO	HERPET		
1	Spectrogram 1	1	0.000000000	59.999994792	0.000	2300.319	0.000	BIO	HERPET		
2	Waveform 1	1	23.311380855	26.585134099	153.355	3373.802			PULSOS		
2	Spectrogram 1	1	23.311380855	26.585134099	153.355	3373.802	375.000		PULSOS		
3	Waveform 1	1	0.000000000	59.999994792	3297.125	4447.284		BIO	INSECT		
3	Spectrogram 1	1	0.000000000	59.999994792	3297.125	4447.284	3750.000	BIO	INSECT		
4	Waveform 1	1	0.000000000	59.999994792	4600.639	5520.767		BIO	INSECT		
4	Spectrogram 1	1	0.000000000	59.999994792	4600.639	5520.767	4875.000	BIO	INSECT		
5	Waveform 1	1	0.000000000	59.999994792	7744.409	8894.569		BIO	INSECT		
5	Spectrogram 1	1	0.000000000	59.999994792	7744.409	8894.569	8250.000	BIO	INSECT		
6	Waveform 1	1	0.000000000	59.266222513	7054.313	7744.409		BIO	INSECT		
6	Spectrogram 1	1	0.000000000	59.266222513	7054.313	7744.409	7500.000	BIO	INSECT		
7	Waveform 1	1	0.112888043	59.887106749	6287.540	6977.636		BIO	INSECT		
7	Spectrogram 1	1	0.112888043	59.887106749	6287.540	6977.636	6750.000	BIO	INSECT		
8	Waveform 1	1	27.939790613	34.092188950	2223.642	3297.125		BIO	HERPET		
8	Spectrogram 1	1	27.939790613	34.092188950	2223.642	3297.125	2625.000	BIO	HERPET		
9	Waveform 1	1	6.999058659	16.594542304	9584.665	18785.942		BIO	INSECT		
9	Spectrogram 1	1	6.999058659	16.594542304	9584.665	18785.942	16500.000	BIO	INSECT		
10	Waveform 1	1	0.000000000	1.523988579	9661.342	19322.684		BIO	INSECT		
10	Spectrogram 1	1	0.000000000	1.523988579	9661.342	19322.684	16500.000	BIO	INSECT		
11	Waveform 1	1	17.215426539	19.642519461	10581.470	23386.581		BIO	INSECT		
11	Spectrogram 1	1	17.215426539	19.642519461	10581.470	23386.581	18000.000	BIO	INSECT		
13	Waveform 1	1	37.986826430	40.357475330	10658.147	20549.521		BIO	INSECT		
13	Spectrogram 1	1	37.986826430	40.357475330	10658.147	20549.521	17625.000	BIO	INSECT		
14	Waveform 1	1	56.444021441	59.999994792	10888.179	19944.620		BIO	INSECT		
14	Spectrogram 1	1	56.444021441	59.999994792	10888.179	19944.620	16875.000	BIO	INSECT		
15	Waveform 1	1	20.739278721	21.379370995	51105.269	59880.921		BIO	MURCIE	SACCAN	
15	Spectrogram 1	1	20.739278721	21.379370995	51105.269	59880.921	55875.000	BIO	MURCIE	SACCAN	
16	Waveform 1	1	20.816221491	55.000171486	39748.542	52395.806		BIO	MURCIE	SAC_SP	YES
16	Spectrogram 1	1	20.816221491	55.000171486	39748.542	52395.806	46125.000	BIO	MURCIE	SAC_SP	YES
17	Waveform 1	1	27.637644572	33.235523355	28349.492	38286.628		BIO	MURCIE	MOL_SP	
17	Spectrogram 1	1	27.637644572	33.235523355	28349.492	38286.628	33000.000	BIO	MURCIE	MOL_SP	
18	Waveform 1	1	38.601609200	43.313487192	28091.385	39577.165		BIO	MURCIE	MOL_SP	
18	Spectrogram 1	1	38.601609200	43.313487192	28091.385	39577.165	32625.000	BIO	MURCIE	MOL_SP	
19	Waveform 1	1	54.686716566	58.588860894	28736.653	39190.004		BIO	MURCIE	MOL_SP	
19	Spectrogram 1	1	54.686716566	58.588860894	28736.653	39190.004	34125.000	BIO	MURCIE	MOL_SP	
