Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Center Freq (Hz)	Tipo	Id	Determinación	Feeding Buzz
1	Waveform 1	1	0.000000000	46.566317689	10964.856	20779.553		BIO	INSECT		
1	Spectrogram 1	1	0.000000000	46.566317689	10964.856	20779.553	16875.000	BIO	INSECT		
2	Waveform 1	1	1.523988579	59.999994792	16485.623	17482.428		BIO	INSECT		
2	Spectrogram 1	1	1.523988579	59.999994792	16485.623	17482.428	16875.000	BIO	INSECT		
3	Waveform 1	1	0.225776086	59.999994792	6440.895	7437.700		BIO	INSECT		
3	Spectrogram 1	1	0.225776086	59.999994792	6440.895	7437.700	7125.000	BIO	INSECT		
4	Waveform 1	1	0.000000000	59.999994792	7514.377	8817.891		BIO	INSECT		
4	Spectrogram 1	1	0.000000000	59.999994792	7514.377	8817.891	8250.000	BIO	INSECT		
5	Waveform 1	1	0.000000000	59.999994792	3143.770	4140.575		BIO	INSECT		
5	Spectrogram 1	1	0.000000000	59.999994792	3143.770	4140.575	3750.000	BIO	INSECT		
6	Waveform 1	1	0.000000000	59.999994792	4677.316	5367.412		BIO	INSECT		
6	Spectrogram 1	1	0.000000000	59.999994792	4677.316	5367.412	4875.000	BIO	INSECT		
7	Waveform 1	1	0.316051109	4.390606931	25575.290	50409.266		BIO	MURCIE	MOL_SP	
7	Spectrogram 1	1	0.316051109	4.390606931	25575.290	50409.266	34125.000	BIO	MURCIE	MOL_SP	
8	Waveform 1	1	5.774855931	12.920649279	25575.290	57822.394		BIO	MURCIE	MOL_SP	
8	Spectrogram 1	1	5.774855931	12.920649279	25575.290	57822.394	33000.000	BIO	MURCIE	MOL_SP	
9	Waveform 1	1	16.335350485	18.931230941	27057.915	48555.985		BIO	MURCIE	MOL_SP	
9	Spectrogram 1	1	16.335350485	18.931230941	27057.915	48555.985	33750.000	BIO	MURCIE	MOL_SP	
10	Waveform 1	1	34.295981918	38.735902323	27799.228	56710.425		BIO	MURCIE	MOL_SP	YES
10	Spectrogram 1	1	34.295981918	38.735902323	27799.228	56710.425	37125.000	BIO	MURCIE	MOL_SP	YES
11	Waveform 1	1	40.332969284	51.403876377	26687.259	56710.425		BIO	MURCIE	MOL_SP	
11	Spectrogram 1	1	40.332969284	51.403876377	26687.259	56710.425	34875.000	BIO	MURCIE	MOL_SP	
