Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Center Freq (Hz)	Tipo	Id	Determinanción
1	Waveform 1	1	35.609753006	49.024385988	1256.545	3141.361		BIO	AVEVOC	
1	Spectrogram 1	1	35.609753006	49.024385988	1256.545	3141.361	2625.000	BIO	AVEVOC	
2	Waveform 1	1	2.780487564	19.560973912	1382.199	2136.126		BIO	AVEVOC	CRYSOU
2	Spectrogram 1	1	2.780487564	19.560973912	1382.199	2136.126	1875.000	BIO	AVEVOC	CRYSOU
3	Waveform 1	1	0.195121934	59.951214308	2890.052	4335.079		BIO	INSECT	
3	Spectrogram 1	1	0.195121934	59.951214308	2890.052	4335.079	3750.000	BIO	INSECT	
4	Waveform 1	1	0.146341451	59.658531407	4774.869	6722.513		BIO	INSECT	
4	Spectrogram 1	1	0.146341451	59.658531407	4774.869	6722.513	5625.000	BIO	INSECT	
5	Waveform 1	1	0.195121934	59.902433825	7099.476	8544.503		BIO	INSECT	
5	Spectrogram 1	1	0.195121934	59.902433825	7099.476	8544.503	7875.000	BIO	INSECT	
6	Waveform 1	1	0.000000000	59.902433825	9675.393	12439.791		BIO	INSECT	
6	Spectrogram 1	1	0.000000000	59.902433825	9675.393	12439.791	11250.000	BIO	INSECT	
7	Waveform 1	1	0.097560967	59.902433825	15267.016	18596.859		BIO	INSECT	
7	Spectrogram 1	1	0.097560967	59.902433825	15267.016	18596.859	16875.000	BIO	INSECT	
8	Waveform 1	1	47.804873899	51.365849200	11811.518	25451.204		BIO	INSECT	
8	Spectrogram 1	1	47.804873899	51.365849200	11811.518	25451.204	18750.000	BIO	INSECT	
9	Waveform 1	1	3.024389981	20.829266485	11937.173	25445.026		BIO	INSECT	
9	Spectrogram 1	1	3.024389981	20.829266485	11937.173	25445.026	19500.000	BIO	INSECT	
