Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Tipo	Id	Determinación
1	Waveform 1	1	0.454545415	6.022726750	902.800	1730.400	BIO	AVEVOC	CAMGRY
1	Spectrogram 1	1	0.454545415	6.022726750	902.800	1730.400	BIO	AVEVOC	CAMGRY
2	Waveform 1	1	1.704545307	58.011358601	5492.200	6470.200	BIO	INSECT	
2	Spectrogram 1	1	1.704545307	58.011358601	5492.200	6470.200	BIO	INSECT	
3	Waveform 1	1	8.011362941	14.772725990	8877.700	9479.600	BIO	INSECT	
3	Spectrogram 1	1	8.011362941	14.772725990	8877.700	9479.600	BIO	INSECT	
4	Waveform 1	1	0.000000000	59.999994792	8877.700	14971.800	BIO	MURCIE	
4	Spectrogram 1	1	0.000000000	59.999994792	8877.700	14971.800	BIO	MURCIE	
5	Waveform 1	1	0.000000000	59.999994792	6620.700	8050.200	BIO	INSECT	
5	Spectrogram 1	1	0.000000000	59.999994792	6620.700	8050.200	BIO	INSECT	
6	Waveform 1	1	0.113636354	59.999994792	2482.800	3987.500	BIO	INSECT	
6	Spectrogram 1	1	0.113636354	59.999994792	2482.800	3987.500	BIO	INSECT	
7	Waveform 1	1	26.136361368	33.352269832	1223.600	1915.200	BIO	AVEVOC	HERCAC
7	Spectrogram 1	1	26.136361368	33.352269832	1223.600	1915.200	BIO	AVEVOC	HERCAC
8	Waveform 1	1	0.340909061	59.999994792	4575.100	4894.300	BIO	INSECT	
8	Spectrogram 1	1	0.340909061	59.999994792	4575.100	4894.300	BIO	INSECT	
9	Waveform 1	1	0.624999946	59.999994792	0.000	372.400		INDETE	
9	Spectrogram 1	1	0.624999946	59.999994792	0.000	372.400		INDETE	
