Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Center Freq (Hz)	Tipo	Id	Descripción
1	Waveform 1	1	13.465907922	14.147726045	16095.808	27880.240		BIO	INSECT	
1	Spectrogram 1	1	13.465907922	14.147726045	16095.808	27880.240	21000.000	BIO	INSECT	
2	Waveform 1	1	0.227272708	32.471588090	9269.461	10491.018		BIO	INSECT	
2	Spectrogram 1	1	0.227272708	32.471588090	9269.461	10491.018	9750.000	BIO	INSECT	
3	Waveform 1	1	0.284090884	3.920454205	37940.120	41389.222		BIO	INSECT	
3	Spectrogram 1	1	0.284090884	3.920454205	37940.120	41389.222	39750.000	BIO	INSECT	
4	Waveform 1	1	45.795450570	59.999994792	37652.695	41389.222		BIO	INSECT	
4	Spectrogram 1	1	45.795450570	59.999994792	37652.695	41389.222	39750.000	BIO	INSECT	
5	Waveform 1	1	15.525566834	59.999994792	35843.030	41807.102		BIO	INSECT	
5	Spectrogram 1	1	15.525566834	59.999994792	35843.030	41807.102	39375.000	BIO	INSECT	
6	Waveform 1	1	51.136359197	53.011359035	8335.329	28455.090		BIO	INSECT	
6	Spectrogram 1	1	51.136359197	53.011359035	8335.329	28455.090	20250.000	BIO	INSECT	
7	Waveform 1	1	0.000000000	59.999994792	2514.970	8479.042		BIO	INSECT	
7	Spectrogram 1	1	0.000000000	59.999994792	2514.970	8479.042	7125.000	BIO	INSECT	
