"group","indval","pvalue","freq","tf_bin"
"Bosque Ripario",0.704438368902333,0.001,49,"V402"
"Bosque Ripario",0.673025950461745,0.001,45,"V274"
"Bosque Ripario",0.658013560021843,0.001,49,"V530"
"Bosque Ripario",0.632980849668216,0.001,47,"V146"
"Bosque Ripario",0.621306694091526,0.001,55,"V404"
"Bosque Ripario",0.611796281052136,0.002,46,"V657"
"Bosque Ripario",0.589583546126846,0.001,53,"V276"
"Bosque Ripario",0.580688648929577,0.001,52,"V2450"
"Bosque Ripario",0.578233215381481,0.001,83,"V2325"
"Bosque Ripario",0.569553525301051,0.002,59,"V2969"
"Bosque Ripario",0.567814778902147,0.001,52,"V148"
"Bosque Ripario",0.567185992693421,0.003,48,"V2578"
"Bosque Ripario",0.564855934363935,0.001,50,"V529"
"Bosque Ripario",0.562977626197207,0.003,49,"V401"
"Bosque Ripario",0.557457960354496,0.001,73,"V2197"
"Bosque Ripario",0.551606555443919,0.001,51,"V20"
"Bosque Ripario",0.551311656742465,0.001,51,"V2964"
"Bosque Ripario",0.546664633729537,0.003,45,"V273"
"Bosque Ripario",0.544914261724512,0.001,56,"V532"
"Bosque Ripario",0.542092711409828,0.001,46,"V2962"
"Bosque Ripario",0.541281856905884,0.001,46,"V2708"
"Bosque Ripario",0.539244937994381,0.001,45,"V2706"
"Bosque Ripario",0.537635849134972,0.003,54,"V2068"
"Bosque Ripario",0.535983466957339,0.003,44,"V18"
"Bosque Ripario",0.527126028137073,0.004,51,"V145"
"Bosque Ripario",0.525141543417089,0.006,60,"V153"
"Bosque Ripario",0.517891378414405,0.004,57,"V660"
"Bosque Ripario",0.51569554193479,0.006,57,"V25"
"Bosque Ripario",0.511928686157604,0.003,46,"V2834"
"Bosque Ripario",0.50722594159685,0.002,46,"V2836"
"Bosque Ripario",0.503373921948916,0.003,39,"V2324"
"Bosque Ripario",0.503326820114808,0.005,54,"V2196"
"Bosque Ripario",0.502156435003223,0.004,51,"V658"
