sensor_name,ID_MUEST_PT,ALTURA,ESTACIONAL,FECHA_FIN,FECHA_INI,HORA_FIN,HORA_INI,MICROFONO,NUM_GRAB,REF_GRAB,RES_BITS,TASA_GRAB,TASA_MUEST,ANTROPOFON,BIOFONIA,GEOFONIA,ACI_Q25,ACI_Q50,ACI_Q75,ADI_Q25,ADI_Q50,ADI_Q75,AEI_Q25,AEI_Q50,AEI_Q75,ASU,BIO_Q25,BIO_Q50,BIO_Q75,HF_Q25,HF_Q50,HF_Q75,HT_Q25,HT_Q50,HT_Q75,NDSI_Q25,NDSI_Q50,NDSI_Q75,NP_Q25,NP_Q50,NP_Q75,SC_Q25,SC_Q50,SC_Q75
G001,ANH_64,1.5,Húmedo,2021-11-29,2021-11-09,13:00:00,14:00:00,Audiomoth v1.20,959.0,Audiomoth v1.20,16.0,60 segundos cada 1800 segundos,192000.0,0.0,83.333,16.667,307.485498559712,312.8030890954124,322.842451076714,3.033214035354322,3.050135420091484,3.0665830368503393,0.5800595860839347,0.7076504796556908,0.7875676403164411,0.4684244791666667,10.227410120791653,34.394063428400464,56.01389158740925,0.6368569714534758,0.7736700531950088,0.8319065187260252,0.9054222168804632,0.9508479713741944,0.9755042240483836,0.5423221764054671,0.942804392776513,0.9905861811353224,4.0,14.0,43.0,0.00032646404044475003,0.0164202234639801,0.07742748084263555
G002,ANH_166,1.5,Húmedo,2021-11-29,2021-11-11,09:00:00,12:30:00,Audiomoth v1.20,858.0,Audiomoth v1.20,16.0,60 segundos cada 1800 segundos,192000.0,0.0,100.0,0.0,303.10220430175696,307.33866946833973,313.14523868831606,3.043365598006206,3.059702914877752,3.073446647634852,0.6826310272247685,0.7291457282447578,0.7829615973994546,0.6207682291666666,48.515313660373586,61.76495750509286,81.78813438449387,0.6935262371922413,0.744851221022781,0.8034272419306985,0.9865570901933871,0.992738636008555,0.9943756962852504,0.8264810455745856,0.9176324378060285,0.9606161434162845,20.0,30.0,49.0,0.1000826430388863,0.1324644232861949,0.18081125658500252
G003,ANH_215,1.5,Húmedo,2021-11-30,2021-11-10,10:30:00,11:00:00,Audiomoth v1.20,960.0,Audiomoth v1.20,16.0,60 segundos cada 1800 segundos,192000.0,33.333,100.0,16.667,310.11962947450127,317.3970809768522,329.40149313615336,3.032731210519772,3.044299140639027,3.0549506560661555,0.6301397538054812,0.682130075469568,0.7313102871144516,0.4095052083333333,23.778316408463596,41.38629908244849,84.10529149093128,0.6611041670403984,0.7125514614375505,0.7729399680678781,0.9422312866540614,0.9690175113463655,0.9804407891866952,0.6460637277554376,0.8542024937973098,0.9266824947068346,7.0,30.0,52.0,0.002305351825095675,0.03822775914558195,0.10793635393421945
G004,ANH_229,1.5,Húmedo,2021-11-28,2021-11-08,12:00:00,16:00:00,Audiomoth v1.20,953.0,Audiomoth v1.20,16.0,60 segundos cada 1800 segundos,192000.0,83.333,100.0,0.0,303.86529910968824,307.2747882883797,314.41556319353003,3.0420645565442985,3.058283714944715,3.07009236694168,0.6345079583839267,0.7136775561130845,0.7850998885930475,0.4283854166666667,19.71434067147052,38.388120018046536,77.34774416307056,0.6890723307594396,0.758413510371277,0.8426935549587897,0.9430017278142376,0.9742932739914192,0.9852582743659692,0.4267653944451587,0.7914369270615801,0.9235008536174903,6.0,29.0,49.0,0.0017533784876367,0.0283031649093548,0.1201999515766858
G005,ANH_233,1.5,Húmedo,2021-11-28,2021-11-08,08:30:00,10:00:00,Audiomoth v1.20,958.0,Audiomoth v1.20,16.0,60 segundos cada 1800 segundos,192000.0,16.667,100.0,0.0,303.2716726065783,305.1639348327138,309.4453135931043,3.0459670492732016,3.063201315091243,3.077240169576309,0.649120702262745,0.7038011772850752,0.845831069920264,0.060546875,6.086580917146426,15.951324665570635,29.68044699146299,0.6903626407861108,0.7642586364757231,0.8866924444801064,0.9326520100280323,0.9735856857354253,0.9852887451913359,0.39913082083142537,0.6034759984280347,0.7759852477265686,1.0,5.0,12.0,3.496268170761233e-06,0.0009780810207704,0.003554612145860725
G006,ANH_393,1.5,Húmedo,2021-11-30,2021-11-10,08:00:00,09:30:00,Audiomoth v1.20,958.0,Audiomoth v1.20,16.0,60 segundos cada 1800 segundos,192000.0,50.0,100.0,33.333,305.89168874163636,310.02135482860086,316.15632000279606,3.0384038469209007,3.0555526406083895,3.072193248447854,0.5895791684691967,0.6462611328264758,0.751356572331165,0.2600911458333333,11.927466827305244,29.983724179587185,67.2914920182772,0.6110660070504116,0.7132874325846956,0.8532817811060927,0.9070692176831163,0.9669524094404962,0.9815002253846132,0.5853745051362755,0.8906332330037396,0.9511924095851978,4.0,20.0,33.0,0.000706027653733025,0.03231906593699545,0.06606002043568743
G007,ANH_38,1.5,Húmedo,2021-12-01,2021-11-09,09:30:00,11:00:00,Audiomoth v1.20,1054.0,Audiomoth v1.20,16.0,60 segundos cada 1800 segundos,192000.0,66.667,100.0,16.667,306.6182058297577,311.3756051355255,318.1889784418447,3.043344319116641,3.0561694945920563,3.070798577127884,0.6257859790590676,0.6816529019686575,0.7763990855632353,0.5771484375,21.362164984746453,43.47350900923236,68.6864154233959,0.6457872719380352,0.7105719746619474,0.8337283962373596,0.9399233102860933,0.976853221401099,0.9868417898513009,0.6986790993521802,0.8627287812525561,0.929823889976811,12.0,19.0,26.0,0.003691840671563125,0.05343477755430795,0.09704875633370827
G008,ANH_211,1.5,Húmedo,2021-11-27,2021-11-08,16:00:00,11:00:00,Audiomoth v1.20,923.0,Audiomoth v1.20,16.0,60 segundos cada 1800 segundos,192000.0,33.333,100.0,16.667,304.44116823540793,307.75522230014326,313.5941334992866,3.069253293188984,3.0818658144642708,3.08791215397139,0.732989309533598,0.8106523016976908,0.8395446563953766,0.7848307291666666,33.445999390495565,49.06832163324948,77.2942455804823,0.7589263199143352,0.8410425901879481,0.861594628292996,0.956924333820977,0.9778392837367644,0.9883799948816612,0.893620288791946,0.970689951152167,0.9904716151071593,11.0,28.0,54.0,0.0244620772902523,0.0748612200052968,0.3429878408533691
G010,ANH_99,1.5,Húmedo,2021-11-24,2021-11-04,11:00:00,12:00:00,Audiomoth v1.20,959.0,Audiomoth v1.20,16.0,60 segundos cada 1800 segundos,192000.0,66.667,100.0,0.0,306.71590978495374,311.056723773048,319.34098112685365,3.0292863561782104,3.045152662137789,3.05870168258199,0.5528622032779803,0.6435240766750062,0.7101559877727741,0.1982421875,12.036670978181242,24.768072106920823,42.66173499242042,0.5906558380340762,0.6777940884727192,0.7638950135746753,0.9208729899868697,0.965124240235235,0.9824233782619619,-0.3378906351324022,0.3234769271384207,0.6816491932616806,6.0,15.0,27.0,0.0003644859568018,0.0099626161525841,0.0257360300049734
G011,ANH_290,1.5,Húmedo,2021-11-25,2021-11-05,08:30:00,08:30:00,Audiomoth v1.20,961.0,Audiomoth v1.20,16.0,60 segundos cada 1800 segundos,192000.0,33.333,66.667,50.0,300.30923947138814,303.4664413440206,308.32198543058047,3.012249870396264,3.035710269881162,3.0468301944052207,0.5424416221642803,0.5971726407424679,0.6325301251013579,0.19108072916666666,31.42346737247689,47.44455453644709,65.7185845325194,0.5602612081559042,0.610461316229067,0.6513321875802198,0.9499384645058776,0.9840446380824496,0.9900217256479784,0.3361692898218436,0.8086036948749378,0.9392689246848314,9.0,14.0,19.0,0.0227309875122041,0.0542297415296348,0.0813782638755958
G012,ANH_221,1.5,Húmedo,2021-11-28,2021-11-08,10:00:00,14:30:00,Audiomoth v1.20,952.0,Audiomoth v1.20,16.0,60 segundos cada 1800 segundos,192000.0,100.0,100.0,0.0,299.10185551003616,303.6900816602805,309.86407379763693,3.0556081996027435,3.070490838669696,3.0793766982306994,0.6518082432543986,0.7228356854524012,0.8004023161894642,0.3059895833333333,35.38143209282175,43.78148694817295,54.914082765583466,0.6669146677030534,0.7372317386201352,0.8209606865682438,0.9815059627357273,0.9898818623504959,0.9932245692940695,0.9033114658877008,0.9552138070461769,0.9846376282243455,2.0,3.0,6.0,0.0002814495877462,0.004394372057125451,0.026350936169505998
G013,ANH_194,1.5,Húmedo,2021-11-29,2021-11-09,12:00:00,12:30:00,Audiomoth v1.20,960.0,Audiomoth v1.20,16.0,60 segundos cada 1800 segundos,192000.0,0.0,100.0,0.0,310.047654930333,319.1227297410181,336.2235131143582,3.0333679162668465,3.0463733606737255,3.0601499179556844,0.6412017781752228,0.728159053570884,0.7747333956811445,0.50390625,34.26406340435649,55.43487185475858,84.19068406630147,0.6725566929634057,0.7534707274577357,0.8041085053313071,0.9480592079614341,0.9752908652589589,0.9888155788523538,0.27460698742105427,0.656592833858196,0.8896373438152034,19.0,33.0,48.0,0.013242552730279473,0.054068476160258394,0.10573610867100722
G014,ANH_226,1.5,Húmedo,2021-12-01,2021-11-09,10:00:00,11:30:00,Audiomoth v1.20,1054.0,Audiomoth v1.20,16.0,60 segundos cada 1800 segundos,192000.0,16.667,100.0,0.0,301.8286047594069,303.97651209761113,307.1749586413439,3.058541812806747,3.0737287140098246,3.083368156388072,0.705547427313312,0.7966602176190476,0.8429662371326107,0.388671875,13.60436102949145,26.84261024259322,57.43469932666365,0.7473681678775912,0.8318298449061065,0.8662352814491603,0.947707337496547,0.977831434081393,0.9881107731294271,0.7297396236767797,0.9106593167739033,0.9797998493838656,2.0,10.0,50.0,5.091440523671046e-05,0.012128117250849349,0.10450760744250602
G015,ANH_272,1.5,Húmedo,2021-11-25,2021-11-08,12:00:00,14:30:00,Audiomoth v1.20,812.0,Audiomoth v1.20,16.0,60 segundos cada 1800 segundos,192000.0,16.667,100.0,16.667,303.9159316466295,309.41511743584016,319.9486462127173,3.050877974542644,3.063128666342968,3.0751676610467116,0.572823552819682,0.6559063614400975,0.7269873434975402,0.359375,20.902545500813442,39.178539740020696,54.9444792897918,0.5835062305330367,0.6697444548069369,0.7609565442790258,0.9614565009651067,0.9824605504980327,0.9907940577896525,0.5939984616637013,0.8880277371138177,0.9566985291626156,4.0,10.0,21.0,0.006146876477719525,0.025708933926650003,0.03942850874547775
G016,ANH_232,1.5,Húmedo,2021-11-28,2021-11-08,10:30:00,13:00:00,Audiomoth v1.20,956.0,Audiomoth v1.20,16.0,60 segundos cada 1800 segundos,192000.0,50.0,100.0,16.667,306.7705560693689,312.09375389898116,319.0088384914692,3.0379158716103074,3.0531645141679906,3.0660088247887787,0.6744416544127121,0.7559195396049811,0.8095807300176214,0.23958333333333334,11.413523491410183,20.63172218116845,42.31681463686951,0.7545197406955543,0.8386239712519495,0.8874741522617877,0.8878369763353424,0.9344428065017831,0.9676981505546817,0.0497206535448933,0.4551793375289362,0.678193146691155,3.0,32.0,52.0,0.000408407825697,0.011179754509530349,0.0272134218238807
G017,ANH_390,1.5,Húmedo,2021-11-25,2021-11-05,12:00:00,12:30:00,Audiomoth v1.20,960.0,Audiomoth v1.20,16.0,60 segundos cada 1800 segundos,192000.0,83.333,83.333,16.667,301.182194614541,302.5567754247227,305.8246454094848,3.043153696899467,3.057472868429734,3.0712046703623734,0.6411727451116568,0.7237844914669278,0.8647968135466046,0.080078125,9.290109030530523,27.15500448905852,50.78414206655078,0.659955797800097,0.7717737269346475,0.9215114036500885,0.9481873838833293,0.9771213003534326,0.9868071624745014,0.44978932412307837,0.7082557719686755,0.9213157295051284,1.0,7.0,14.0,1.4640622965062667e-05,0.0021484567909327,0.02331901611517405
G018,ANH_208,1.5,Húmedo,2021-11-27,2021-11-07,09:30:00,15:00:00,Audiomoth v1.20,950.0,Audiomoth v1.20,16.0,60 segundos cada 1800 segundos,192000.0,0.0,83.333,33.333,303.7219266733192,311.6442917007061,323.4415645033125,3.0552312049672774,3.0711637456916576,3.081737614001767,0.6707386754913661,0.7455519614616253,0.7911162923555406,0.5807291666666666,22.982661557764903,38.686595167160036,54.29721302888527,0.721439835965927,0.8022377296810979,0.8289981589012005,0.925674955358141,0.9674278573555911,0.9871105850163305,0.9305884336635485,0.9871910830442722,0.996842187215899,10.0,35.0,58.0,0.0139957800043178,0.06614458642206769,0.33348061363002657
G019,ANH_192,1.5,Húmedo,2021-11-29,2021-11-11,09:00:00,10:00:00,Audiomoth v1.20,863.0,Audiomoth v1.20,16.0,60 segundos cada 1800 segundos,192000.0,16.667,83.333,16.667,303.1711777731695,307.9643777991769,314.6491326841077,3.0396565715358452,3.05166118233184,3.0643114268252463,0.7140120738066122,0.745795517550329,0.7788127505725019,0.5458984375,49.394689016966126,60.57770716003769,83.10517622166606,0.7253127735183469,0.7565255957995952,0.7952334986978022,0.9794817389195284,0.990603667812264,0.9937947907126345,0.8335981779258117,0.9299785288935976,0.9651823423702954,22.0,32.0,44.0,0.09212841443364385,0.1447813390182653,0.2040172995349089
G020,ANH_338,1.5,Húmedo,2021-11-24,2021-11-04,13:30:00,14:30:00,Audiomoth v1.20,959.0,Audiomoth v1.20,16.0,60 segundos cada 1800 segundos,192000.0,33.333,83.333,16.667,308.7690865254258,318.5007610190169,333.16936432723827,3.067692491361571,3.081492865192628,3.087857245243684,0.7147566842704682,0.7909774767723377,0.8312893415814027,0.7815755208333334,16.514530039992792,34.07254984517903,54.802034708317876,0.8263284105357261,0.8499269280684113,0.8676226859687795,0.8912061695769342,0.9503393663520756,0.9790979124446575,0.7195993846662394,0.9189462340011668,0.9809693900258774,13.0,41.0,60.0,0.008562797783715551,0.0507483324985993,0.23726506170476286
