sensor_name,eventID,decimalLat,decimalLon,Tipo,Dis_CP,Dis_Oleodu,Dis_Pozo,Dis_Pozact,Dis_Ferroc,Dis_Kale,Dis_Plater,DisBosque,Dis_CobNat,Dis_Cienag,Dis_MGSG,Dis_Dre345,UCSuelo,Cobertura,Tam_Parche,Plataf,Dis_PlatEf,Dis_ViaPri,Dia_ViaSec,Presión sonora 1,Presión sonora 2,Presión sonora 3,Presión sonora 4
G001,ANH_64,7.372222222,-73.86297222,PE,3651.165653,147.5945421,2669.762843,2669.762843,4643.993171,98.17447588,11254.11352,219.1211355,219.1211355,2256.67977,4042.636346,1905.234336,PVAa,Palma,632.8655735,Kale,98.17447588,3670.577619,2825.992615,54.8,45.8,40.1,39.8
G002,ANH_166,7.407027778,-73.86494444,PE,2980.061934,242.875929,1478.285954,1478.285954,7905.917355,2850.696554,15044.19784,134.9217211,0,5424.950961,3038.465892,1511.740237,RVAa,Herbazales,11.19854968,Kale,2850.696554,2789.887002,4856.86318,38.5,54.4,63.9,55.5
G003,ANH_215,7.356083334,-73.76063889,PE,3543.343207,305.1813893,2759.363413,11132.5371,1194.253227,9269.709086,16050.04996,0,0,7239.387538,11897.53148,58.81848298,PVBc2,Bosque Ripario,183.6687616,Caracterizacion,9269.709086,3401.818205,6417.346726,54.2,45.5,37.4,38.5
G004,ANH_229,7.334694445,-73.85297222,PE,1322.118285,1229.610687,6604.903704,6604.903704,612.7011298,2835.100508,7531.089606,0.398900379,0.398900379,3072.797565,5832.60679,145.8542606,PVAa,Palma,118.6356076,Kale,2835.100508,737.4747466,1318.614971,61.4,54.7,51.4,47.5
G005,ANH_233,7.284666667,-73.8395,PE,4604.06253,2523.154085,2658.614774,6747.676299,4778.283814,8379.466866,4581.222145,0,0,5656.640594,5854.088529,3325.100833,PVAa,Bosque Ripario,39.67404334,Platero,4581.222145,2533.647225,3217.531236,51.5,50.5,53.1,47.5
G006,ANH_393,7.340527778,-73.72497222,PE,2037.016297,348.0967728,1912.56534,7632.928228,812.8682816,13375.76369,18623.69831,0,0,10665.10733,9251.902915,3736.837533,LVBd2,Bosque Ripario,464.8329216,Caracterizacion,13375.76369,2156.675292,7563.723313,39.3,47.5,43.5,37.8
G007,ANH_38,7.249222222,-73.89530556,PE,5314.160071,7571.775109,868.5998058,868.5998058,9216.77044,12828.29598,530.5979418,842.818914,13.04459029,2492.534967,2323.477291,8569.226017,PVAa,Pastos,29.35293825,Platero,530.5979418,6833.306189,3912.901735,47.6,51.2,48.5,49.4
G008,ANH_211,7.381027778,-73.80144444,PE,4888.154847,3931.784754,6097.694587,6097.694587,3443.652287,4751.33739,14809.1944,119.0513753,119.0513753,4418.56716,10551.67189,1227.780704,PVAa,Palma,34.48738537,Kale,4751.33739,6321.079547,1872.692012,37.9,37.9,55.7,43.6
G009,ANH_363,7.371444445,-73.77575,PE,4915.041015,2666.068409,4817.943461,9124.600854,1103.835227,7588.837261,15855.38187,0,0,5167.204615,13526.43507,72.4990321,PVCb2,Bosque Ripario,191.1474957,Kale,7588.837261,5293.976004,4078.586384,58.9,48.6,62,63.5
G010,ANH_99,7.2305,-73.83025,PE,1401.19167,148.691192,3092.537331,3457.591691,4135.871816,14437.67856,5973.866894,0,0,8313.800537,6.544004565,7475.357234,PVAa,Bosque Ripario,42.53882457,Platero,5973.866894,432.4962352,651.1113657,50.6,52.7,57.1,49.8
G011,ANH_290,7.324361111,-73.74205556,PE,514.9419788,753.4287781,2312.627166,7124.954296,455.8482269,11987.31188,16194.5083,0,0,11261.52593,7885.72861,3272.402693,PVBc2,Bosque Ripario,73.69436585,Caracterizacion,11987.31188,51.96264394,6817.366721,57.3,50.6,64.1,55.2
G012,ANH_221,7.306722222,-73.84922222,PE,2368.9593,2043.991169,4767.7963,7394.15757,2448.727371,5925.654852,5072.988122,249.7808356,249.7808356,4549.714032,6674.366482,942.5847574,PVAa,Palma,855.9869562,Platero,5072.988122,2044.52146,2433.652549,53.5,45.9,51,51.3
G013,ANH_194,7.382194445,-73.873,PE,2823.245026,446.2786893,2260.483243,2260.483243,5119.52364,1214.377995,12236.00164,505.4920203,0,2591.602243,2775.34636,898.9496751,RVCa,Herbazales,186.0063562,Kale,1214.377995,2507.918899,4219.542414,47.4,49.4,50.7,48.6
G014,ANH_226,7.240833222,-73.89630567,PE,4533.224963,7311.562196,1802.199007,1802.199007,10150.17175,13749.92205,1458.693491,1140.763446,178.7377062,3425.243529,2135.861228,9430.246432,PVAa,Palma,72.79127038,Platero,1458.693491,6733.142861,4640.196174,41.8,49.1,51,49.3
G015,ANH_272,7.269045153,-73.71270915,PE,2190.512688,33.05579347,1574.398813,1574.398813,6731.412447,17706.9012,18354.25949,129.8768693,129.8768693,18172.92832,1295.376917,1769.86718,PVCb2,Pastos,34.03132945,Caracterizacion,17706.9012,1821.976836,88.8032569,54.4,48,59.1,49.7
G016,ANH_232,7.295416667,-73.87488889,PE,2917.580882,4946.177271,4379.631452,4745.150118,3930.852066,7322.41139,2658.839048,0,0,1604.804964,3731.156793,3102.475064,PVAa,Bosque Ripario,32.83731629,Platero,2658.839048,3082.320437,1001.759441,55.1,39.5,42.6,45.7
G017,ANH_390,7.295555556,-73.70641667,PE,666.3639352,1273.834964,981.2044387,2253.751051,4392.499686,16842.25044,19229.26169,0,0,15930.93235,4306.387574,1388.922353,PVCb2,Bosque Denso,215.8260198,Caracterizacion,16842.25044,51.15513617,2252.142076,32.6,43.9,50.6,43.7
G018,ANH_208,7.347972222,-73.83280556,PE,1980.013037,704.0517449,5959.487041,5959.487041,2254.022409,1874.748542,9850.98394,344.0404688,344.0404688,4614.486563,7762.186907,1649.583059,PVCb2,Palma,192.7647681,Kale,1874.748542,2353.137709,728.522826,59.5,53,51.6,35.4
G019,ANH_192,7.445833334,-73.86736111,PE,5498.30849,1877.934253,2244.033707,2244.033707,11730.60932,7148.387597,19298.79796,88.4132487,88.4132487,7718.671897,3174.919277,660.8522666,RVEa,Pastos,70.56456982,Kale,7148.387597,2030.534554,8086.270419,63,51.4,56,58.1
G020,ANH_338,7.279083334,-73.80711111,PE,3643.410695,131.5458229,4813.988206,4814.809145,2203.732165,9882.061681,7969.969705,0,0,9282.594845,4297.863472,4307.941856,PVAa,Bosque Ripario,11.53541432,Platero,7969.969705,219.3604827,4620.430633,53.1,40.5,60.5,39.2
G021,ANH_327,7.225138889,-73.85913889,PE,1006.016169,2854.974166,2158.078121,5201.194722,6411.222235,14955.64248,3868.185453,1772.849321,1034.695959,6391.166681,1041.060881,10004.54354,PVAa,Palma,183.1202655,Platero,3868.185453,2635.188679,990.1060891,50.6,62.5,43.8,62.2
G022,ANH_275,7.383444445,-73.82483333,PE,5965.635048,2289.976025,3605.917996,3605.917996,5659.295877,2180.09069,13723.63607,0,0,5565.372647,7958.510969,3811.166043,PVAa,Bosque Ripario,13.70710311,Kale,2180.09069,6371.785651,16.52711016,42,59.3,56.1,48.5
G023,ANH_240,7.395027778,-73.80772222,PE,4119.181686,2280.232367,5108.575674,5108.575674,5066.535368,4326.487064,15740.63153,0,0,3403.023036,9451.940769,1828.992515,PVCb2,Bosque Ripario,71.81317271,Kale,4326.487064,7987.321647,541.7817932,41.4,44.9,40.6,42.9
G024,ANH_256,7.295527778,-73.78208333,PE,1791.529429,980.6806021,2980.080059,6834.268508,746.2828411,9937.441853,11011.44757,1031.781288,748.6124782,11850.60216,5575.918838,1780.749624,PVAa,Palma,1096.107556,Caracterizacion,9937.441853,2527.744725,5422.704957,64.3,43.5,52.1,39.2
G025,ANH_389,7.454416667,-73.78519444,PE,3603.848487,1612.212719,7067.288293,7067.288293,6153.653098,10388.83299,22700.88287,0,0,67.26783534,11790.10208,2413.80669,RVCa,Bosque Ripario,51.44965408,Kale,10388.83299,7368.493046,3914.517937,67.1,62.9,47.1,60.8
G026,ANH_66,7.364777778,-73.81052778,PE,4877.325503,2064.38539,6058.08658,6058.08658,3232.881147,3749.572271,12764.78307,262.7309907,262.7309907,6464.908237,9867.250632,2627.363522,PVAa,Palma,556.0054155,Kale,3749.572271,4940.572512,2570.013011,49.1,37.4,34.7,32.3
G027,ANH_58,7.358,-73.71075,PE,2335.44251,72.83687924,2791.61844,9087.968329,1754.287592,14768.50763,20876.54287,0,0,10143.43131,11124.07098,2620.966398,LVCb2,Bosque Ripario,464.8329216,Caracterizacion,14768.50763,4637.140151,9095.663339,33.1,45.8,40.5,37.6
G028,ANH_248,7.260694445,-73.81363889,PE,2933.264609,412.604599,3007.047366,3126.316705,3147.534735,11527.40203,7211.960066,0,0,8753.880522,2743.647222,5717.9231,PVAa,Bosque Ripario,86.22164614,Platero,7211.960066,581.5662717,3844.457621,35.4,62.8,42.6,45
G029,ANH_181,7.264111111,-73.8785,PE,4848.701729,6406.183845,1879.52382,1879.52382,7406.642598,10800.18649,47.77142534,0,0,1821.104255,4316.159942,6249.494387,PVAa,Bosque Ripario,78.64786874,Platero,47.77142534,5924.605926,1434.683544,44.5,38.4,45.4,41.4
G02A,ANH_197,7.417861111,-73.85855556,PE,4023.661666,1078.834482,2217.183272,2217.183272,9296.172219,4029.469637,16318.53792,0,0,6815.194394,3421.661937,1421.573813,RVCa,Bosque Abierto,103.0506679,Kale,4029.469637,3300.784485,5195.805025,43.6,54,41.2,45
