Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Center Freq (Hz)	TIPO	ID	DETERMINACIÓN
1	Waveform 1	1	0.000000000	59.661330663	5444.089	7054.313		BIO	INSECT	
1	Spectrogram 1	1	0.000000000	59.661330663	5444.089	7054.313	6375.000	BIO	INSECT	
2	Waveform 1	1	0.169332064	59.774218706	7284.345	24536.741		BIO	INSECT	
2	Spectrogram 1	1	0.169332064	59.774218706	7284.345	24536.741	9750.000	BIO	INSECT	
3	Waveform 1	1	0.225776086	59.774218706	0.000	2760.383		BIO	HERPET	
3	Spectrogram 1	1	0.225776086	59.774218706	0.000	2760.383	1500.000	BIO	HERPET	
4	Waveform 1	1	0.282220107	59.999994792	2990.415	4830.671		BIO	INSECT	
4	Spectrogram 1	1	0.282220107	59.999994792	2990.415	4830.671	3750.000	BIO	INSECT	
5	Waveform 1	1	38.168727856	42.796400300	33203.275	51649.539		BIO	MURCIE	VESPER
5	Spectrogram 1	1	38.168727856	42.796400300	33203.275	51649.539	36750.000	BIO	MURCIE	VESPER
6	Waveform 1	1	0.543323816	58.987025297	23948.043	28776.488		BIO	INSECT	
6	Spectrogram 1	1	0.543323816	58.987025297	23948.043	28776.488	25875.000	BIO	INSECT	
