Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Center Freq (Hz)	Tipo	ID	Descripcion
1	Waveform 1	1	4.162746581	4.882407855	1916.933	23156.550		BIO	AVEVOC	MYI_SP
1	Spectrogram 1	1	4.162746581	4.882407855	1916.933	23156.550	6000.000	BIO	AVEVOC	MYI_SP
2	Waveform 1	1	0.070555027	59.999994792	0.000	1993.610				
2	Spectrogram 1	1	0.070555027	59.999994792	0.000	1993.610	0.000			
3	Waveform 1	1	21.491061164	23.184381807	2146.965	7437.700		BIO	AVEVOC	MYI_SP
3	Spectrogram 1	1	21.491061164	23.184381807	2146.965	7437.700	5250.000	BIO	AVEVOC	MYI_SP
4	Waveform 1	1	17.554090668	20.884287933	2070.288	3143.770		BIO	AVEVOC	DRYLIN
4	Spectrogram 1	1	17.554090668	20.884287933	2070.288	3143.770	2625.000	BIO	AVEVOC	DRYLIN
5	Waveform 1	1	0.282220107	59.999994792	8281.150	9661.342		BIO	INSECT	
5	Spectrogram 1	1	0.282220107	59.999994792	8281.150	9661.342	9375.000	BIO	INSECT	
6	Waveform 1	1	0.319295603	59.999994792	6364.217	7821.086		BIO	INSECT	
6	Spectrogram 1	1	0.319295603	59.999994792	6364.217	7821.086	7125.000	BIO	INSECT	
7	Waveform 1	1	0.000000000	59.867925477	5060.703	5904.153		BIO	INSECT	
7	Spectrogram 1	1	0.000000000	59.867925477	5060.703	5904.153	5625.000	BIO	INSECT	
8	Waveform 1	1	10.340908193	59.849685512	15523.460	22101.198		BIO	INSECT	
8	Spectrogram 1	1	10.340908193	59.849685512	15523.460	22101.198	18750.000	BIO	INSECT	
