Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	TIPO	ID	DESCRIPCION
1	Waveform 1	1	0.000000000	59.999994792	613.400	1533.500	BIO	HERPET	
1	Spectrogram 1	1	0.000000000	59.999994792	613.400	1533.500	BIO	HERPET	
3	Waveform 1	1	0.112113339	59.999994792	3527.200	4293.900	BIO	INSECT	
3	Spectrogram 1	1	0.112113339	59.999994792	3527.200	4293.900	BIO	INSECT	
4	Waveform 1	1	0.000000000	59.999994792	4907.300	21469.600	BIO	INSECT	
4	Spectrogram 1	1	0.000000000	59.999994792	4907.300	21469.600	BIO	INSECT	
5	Waveform 1	1	0.000000000	59.867925477	1955.300	2645.400	BIO		
5	Spectrogram 1	1	0.000000000	59.867925477	1955.300	2645.400	BIO		
6	Waveform 1	1	0.000000000	59.999994792	2683.700	3450.500	BIO	HERPET	
6	Spectrogram 1	1	0.000000000	59.999994792	2683.700	3450.500	BIO	HERPET	
