Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Tipo	ID	Determinación
1	Waveform 1	1	33.988287826	44.816553024	421.700	4504.800	BIO	AVEVOC	CAMGRY
1	Spectrogram 1	1	33.988287826	44.816553024	421.700	4504.800	BIO	AVEVOC	CAMGRY
2	Waveform 1	1	35.085866460	44.445218809	555.900	1322.700	BIO	AVEVOC	PATCAY
2	Spectrogram 1	1	35.085866460	44.445218809	555.900	1322.700	BIO	AVEVOC	PATCAY
3	Waveform 1	1	46.780067903	51.449766090	1456.900	4447.300	BIO	AVEVOC	PITSUL
3	Spectrogram 1	1	46.780067903	51.449766090	1456.900	4447.300	BIO	AVEVOC	PITSUL
4	Waveform 1	1	56.438759880	58.314621545	1226.800	4907.300	BIO	AVEVOC	PITSUL
4	Spectrogram 1	1	56.438759880	58.314621545	1226.800	4907.300	BIO	AVEVOC	PITSUL
5	Waveform 1	1	4.150842833	9.738515878	766.800	1916.900	BIO	AVEVOC	CROMAJ
5	Spectrogram 1	1	4.150842833	9.738515878	766.800	1916.900	BIO	AVEVOC	CROMAJ
6	Waveform 1	1	5.228465492	8.461333467	2300.300	4984.000	BIO	AVEVOC	PITSUL
6	Spectrogram 1	1	5.228465492	8.461333467	2300.300	4984.000	BIO	AVEVOC	PITSUL
7	Waveform 1	1	0.000000000	5.206960978	2147.000	5060.700	BIO	AVEVOC	
7	Spectrogram 1	1	0.000000000	5.206960978	2147.000	5060.700	BIO	AVEVOC	
8	Waveform 1	1	0.000000000	59.604886642	325.900	699.700	BIO	AVEVOC	PATCAY
8	Spectrogram 1	1	0.000000000	59.604886642	325.900	699.700	BIO	AVEVOC	PATCAY
9	Waveform 1	1	0.000000000	59.717774684	0.000	316.300	ANT	TRAMOT	
9	Spectrogram 1	1	0.000000000	59.717774684	0.000	316.300	ANT	TRAMOT	
10	Waveform 1	1	15.465661875	31.947316136	814.700	2971.200	BIO	AVEVOC	
10	Spectrogram 1	1	15.465661875	31.947316136	814.700	2971.200	BIO	AVEVOC	
11	Waveform 1	1	49.780107332	58.589746685	22627.417	27685.310	BIO	INSECT	
11	Spectrogram 1	1	49.780107332	58.589746685	22627.417	27685.310	BIO	INSECT	
