Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Center Freq (Hz)	Tipo	Id	Determinación
1	Waveform 1	1	0.000000000	59.999994792	3141.361	5717.277		BIO	HERPET	
1	Spectrogram 1	1	0.000000000	59.999994792	3141.361	5717.277	4125.000	BIO	HERPET	
2	Waveform 1	1	0.439024352	59.999994792	0.000	3078.534		BIO	AVEVOC	
2	Spectrogram 1	1	0.439024352	59.999994792	0.000	3078.534	1875.000	BIO	AVEVOC	
3	Waveform 1	1	5.804877545	6.341462864	1256.545	4335.079		BIO	AVEVOC	PSITTA
3	Spectrogram 1	1	5.804877545	6.341462864	1256.545	4335.079	3000.000	BIO	AVEVOC	PSITTA
4	Waveform 1	1	17.024388766	49.902434693	691.099	3267.016		BIO	AVEVOC	ORT_SP
4	Spectrogram 1	1	17.024388766	49.902434693	691.099	3267.016	1875.000	BIO	AVEVOC	ORT_SP
5	Waveform 1	1	0.000000000	59.999994792	6094.241	7099.476		BIO	INSECT	
5	Spectrogram 1	1	0.000000000	59.999994792	6094.241	7099.476	6750.000	BIO	INSECT	
6	Waveform 1	1	0.000000000	59.999994792	9424.084	10931.937		BIO	INSECT	
6	Spectrogram 1	1	0.000000000	59.999994792	9424.084	10931.937	10125.000	BIO	INSECT	
7	Waveform 1	1	40.585362331	41.073167166	1382.199	12125.654		BIO	AVEVOC	PSITTA
7	Spectrogram 1	1	40.585362331	41.073167166	1382.199	12125.654	6750.000	BIO	AVEVOC	PSITTA
8	Waveform 1	1	0.000000000	59.999994792	18282.723	20732.984		BIO	INSECT	
8	Spectrogram 1	1	0.000000000	59.999994792	18282.723	20732.984	19500.000	BIO	INSECT	
9	Waveform 1	1	0.000000000	59.999994792	12753.927	13884.817		BIO	INSECT	
9	Spectrogram 1	1	0.000000000	59.999994792	12753.927	13884.817	13500.000	BIO	INSECT	
10	Waveform 1	1	0.000000000	59.999994792	10931.937	17968.586		BIO	INSECT	
10	Spectrogram 1	1	0.000000000	59.999994792	10931.937	17968.586	16500.000	BIO	INSECT	
