Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Center Freq (Hz)	Tipo	Id	Determinación
1	Waveform 1	1	6.874999403	54.090904396	16175.549	21742.947		BIO		
1	Spectrogram 1	1	6.874999403	54.090904396	16175.549	21742.947	19500.000	BIO		
2	Waveform 1	1	2.613636137	57.045449594	11134.796	12037.618		BIO		
2	Spectrogram 1	1	2.613636137	57.045449594	11134.796	12037.618	11625.000	BIO		
3	Waveform 1	1	0.284090884	49.431813891	9253.918	10382.445		BIO	INSECT	
3	Spectrogram 1	1	0.284090884	49.431813891	9253.918	10382.445	9750.000	BIO	INSECT	
4	Waveform 1	1	0.000000000	59.999994792	7974.922	9329.154		BIO	INSECT	
4	Spectrogram 1	1	0.000000000	59.999994792	7974.922	9329.154	8625.000	BIO	INSECT	
5	Waveform 1	1	0.000000000	23.863634292	7072.100	7749.216		BIO	INSECT	
5	Spectrogram 1	1	0.000000000	23.863634292	7072.100	7749.216	7500.000	BIO	INSECT	
6	Waveform 1	1	7.954544764	58.693176723	6319.749	6846.395		BIO	INSECT	
6	Spectrogram 1	1	7.954544764	58.693176723	6319.749	6846.395	6750.000	BIO	INSECT	
7	Waveform 1	1	0.000000000	59.999994792	3235.110	3987.461		BIO	INSECT	
7	Spectrogram 1	1	0.000000000	59.999994792	3235.110	3987.461	3750.000	BIO	INSECT	
8	Waveform 1	1	0.000000000	59.999994792	0.000	1880.878		ANT	TRAMOT	
8	Spectrogram 1	1	0.000000000	59.999994792	0.000	1880.878	0.000	ANT	TRAMOT	
9	Waveform 1	1	2.443181606	59.999994792	4213.166	5793.103				
9	Spectrogram 1	1	2.443181606	59.999994792	4213.166	5793.103	4875.000			
