Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Center Freq (Hz)	Tipo	Id	Determinación	Feeding buzz
1	Waveform 1	1	0.000000000	59.999994792	0.000	1130.890		ANT	TRAMOT		
1	Spectrogram 1	1	0.000000000	59.999994792	0.000	1130.890	375.000	ANT	TRAMOT		
2	Waveform 1	1	0.000000000	59.999994792	3518.325	4837.696		BIO	INSECT		
2	Spectrogram 1	1	0.000000000	59.999994792	3518.325	4837.696	4125.000	BIO	INSECT		
3	Waveform 1	1	0.000000000	28.390241438	4900.524	5465.969		BIO	INSECT		
3	Spectrogram 1	1	0.000000000	28.390241438	4900.524	5465.969	5250.000	BIO	INSECT		
4	Waveform 1	1	0.000000000	59.999994792	7036.649	8607.330		BIO	INSECT		
4	Spectrogram 1	1	0.000000000	59.999994792	7036.649	8607.330	7875.000	BIO	INSECT		
5	Waveform 1	1	0.000000000	59.999994792	6157.068	6659.686		BIO	INSECT		
5	Spectrogram 1	1	0.000000000	59.999994792	6157.068	6659.686	6375.000	BIO	INSECT		
6	Waveform 1	1	0.000000000	59.999994792	5528.796	5905.759		BIO	INSECT		
6	Spectrogram 1	1	0.000000000	59.999994792	5528.796	5905.759	5625.000	BIO	INSECT		
7	Waveform 1	1	0.487804836	59.999994792	8418.848	9424.084		BIO	INSECT		
7	Spectrogram 1	1	0.487804836	59.999994792	8418.848	9424.084	8625.000	BIO	INSECT		
8	Waveform 1	1	4.780487390	59.999994792	8544.503	10680.628		BIO			
8	Spectrogram 1	1	4.780487390	59.999994792	8544.503	10680.628	8625.000	BIO			
9	Waveform 1	1	1.024390155	59.999994792	11497.382	13507.853		BIO	INSECT		
9	Spectrogram 1	1	1.024390155	59.999994792	11497.382	13507.853	12375.000	BIO	INSECT		
10	Waveform 1	1	0.341463385	59.999994792	14764.398	16712.042		BIO	INSECT		
10	Spectrogram 1	1	0.341463385	59.999994792	14764.398	16712.042	15750.000	BIO	INSECT		
11	Waveform 1	1	0.634146286	59.073165604	19036.649	19539.267		BIO	INSECT		
11	Spectrogram 1	1	0.634146286	59.073165604	19036.649	19539.267	19125.000	BIO	INSECT		
12	Waveform 1	1	0.000000000	59.999994792	35958.763	49814.433		BIO	MURCIE	SAC_SP	yes
12	Spectrogram 1	1	0.000000000	59.999994792	35958.763	49814.433	40875.000	BIO	MURCIE	SAC_SP	yes
13	Waveform 1	1	18.621096285	21.987573266	26074.320	34890.647		BIO	MURCIE	MOLOSSI	
13	Spectrogram 1	1	18.621096285	21.987573266	26074.320	34890.647	30750.000	BIO	MURCIE	MOLOSSI	
