Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Center Freq (Hz)	TIPO	ID	DETERMINACION
1	Waveform 1	1	0.000000000	59.947749378	5980.831	8741.214		BIO	INSECT	
1	Spectrogram 1	1	0.000000000	59.947749378	5980.831	8741.214	7500.000	BIO	INSECT	
2	Waveform 1	1	0.000000000	59.999994792	3067.093	5214.058		BIO	INSECT	
2	Spectrogram 1	1	0.000000000	59.999994792	3067.093	5214.058	3750.000	BIO	INSECT	
3	Waveform 1	1	0.159647801	59.468805974	996.805	2607.029		BIO	AVEVOC	NYCALB
3	Spectrogram 1	1	0.159647801	59.468805974	996.805	2607.029	1875.000	BIO	AVEVOC	NYCALB
4	Waveform 1	1	0.049889938	59.999994792	0.000	843.450		BIO	HERPET	
4	Spectrogram 1	1	0.049889938	59.999994792	0.000	843.450	375.000	BIO	HERPET	
5	Waveform 1	1	0.000000000	59.708277676	8664.537	23539.936		BIO	INSECT	
5	Spectrogram 1	1	0.000000000	59.708277676	8664.537	23539.936	16875.000	BIO	INSECT	
6	Waveform 1	1	0.045198583	2.367903540	35797.281	52237.513		BIO	MURCIE	VESPER
6	Spectrogram 1	1	0.045198583	2.367903540	35797.281	52237.513	40875.000	BIO	MURCIE	VESPER
7	Waveform 1	1	4.343756388	7.420038662	36592.776	49055.533		BIO	MURCIE	SAC_SP
7	Spectrogram 1	1	4.343756388	7.420038662	36592.776	49055.533	41250.000	BIO	MURCIE	SAC_SP
8	Waveform 1	1	40.367968985	42.757806210	36062.446	49320.698		BIO	MURCIE	VESPER
8	Spectrogram 1	1	40.367968985	42.757806210	36062.446	49320.698	39750.000	BIO	MURCIE	VESPER
