Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Center Freq (Hz)	Tipo	Id	Descripción
1	Waveform 1	1	0.000000000	59.999994792	3611.285	4363.636		BIO	INSECT	
1	Spectrogram 1	1	0.000000000	59.999994792	3611.285	4363.636	3750.000	BIO	INSECT	
2	Waveform 1	1	0.000000000	59.999994792	6771.160	8576.803		BIO	INSECT	
2	Spectrogram 1	1	0.000000000	59.999994792	6771.160	8576.803	7500.000	BIO	INSECT	
3	Waveform 1	1	0.000000000	59.999994792	15347.962	16175.549			INDETE	
3	Spectrogram 1	1	0.000000000	59.999994792	15347.962	16175.549	15750.000		INDETE	
4	Waveform 1	1	0.284090884	59.886358438	10608.150	14144.201		BIO	INSECT	
4	Spectrogram 1	1	0.284090884	59.886358438	10608.150	14144.201	12750.000	BIO	INSECT	
5	Waveform 1	1	0.010044130	59.965586539	19636.364	26349.650		BIO	INSECT	
5	Spectrogram 1	1	0.010044130	59.965586539	19636.364	26349.650	22125.000	BIO	INSECT	
