Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Tipo	Id	Descripción
1	Waveform 1	1	0.000000000	59.999994792	15348.000	35511.000	BIO		
1	Spectrogram 1	1	0.000000000	59.999994792	15348.000	35511.000	BIO		
2	Waveform 1	1	0.000000000	23.636361585	0.000	601.900		INDETE	
2	Spectrogram 1	1	0.000000000	23.636361585	0.000	601.900		INDETE	
3	Waveform 1	1	1.420454422	19.999998264	526.600	3385.600	BIO	AVEVOC	
3	Spectrogram 1	1	1.420454422	19.999998264	526.600	3385.600	BIO	AVEVOC	
4	Waveform 1	1	8.522726533	9.829544601	3987.500	5793.100	BIO	AVEVOC	
4	Spectrogram 1	1	8.522726533	9.829544601	3987.500	5793.100	BIO	AVEVOC	
5	Waveform 1	1	10.681817255	12.840907976	3686.500	5642.600	BIO	AVEVOC	
5	Spectrogram 1	1	10.681817255	12.840907976	3686.500	5642.600	BIO	AVEVOC	
6	Waveform 1	1	23.465907054	28.636361151	2031.300	4664.600	BIO	AVEVOC	
6	Spectrogram 1	1	23.465907054	28.636361151	2031.300	4664.600	BIO	AVEVOC	
7	Waveform 1	1	29.575250891	33.552523273	1203.800	3310.300	BIO	AVEVOC	
7	Spectrogram 1	1	29.575250891	33.552523273	1203.800	3310.300	BIO	AVEVOC	
8	Waveform 1	1	32.302523381	39.461613669	1354.200	6771.200	BIO	AVEVOC	
8	Spectrogram 1	1	32.302523381	39.461613669	1354.200	6771.200	BIO	AVEVOC	
9	Waveform 1	1	40.029795438	41.279795329	1128.500	2633.200	BIO	AVEVOC	
9	Spectrogram 1	1	40.029795438	41.279795329	1128.500	2633.200	BIO	AVEVOC	
10	Waveform 1	1	47.472976610	54.461612367	376.200	1880.900	BIO	AVEVOC	CAMGRY
10	Spectrogram 1	1	47.472976610	54.461612367	376.200	1880.900	BIO	AVEVOC	CAMGRY
11	Waveform 1	1	55.086612312	59.688884640	2633.200	5567.400	BIO	AVEVOC	
11	Spectrogram 1	1	55.086612312	59.688884640	2633.200	5567.400	BIO	AVEVOC	
12	Waveform 1	1	0.000000000	59.999994792	7072.100	8953.000	BIO	INSECT	
12	Spectrogram 1	1	0.000000000	59.999994792	7072.100	8953.000	BIO	INSECT	
13	Waveform 1	1	0.000000000	59.999994792	6094.000	6771.200	BIO	INSECT	
13	Spectrogram 1	1	0.000000000	59.999994792	6094.000	6771.200	BIO	INSECT	
14	Waveform 1	1	0.000000000	59.999994792	9028.200	10457.700	BIO	INSECT	
14	Spectrogram 1	1	0.000000000	59.999994792	9028.200	10457.700	BIO	INSECT	
