Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Tipo	Id	Determinación
1	Waveform 1	1	26.306815898	30.454542811	1655.200	3009.400	BIO	AVEVOC	CROANY
1	Spectrogram 1	1	26.306815898	30.454542811	1655.200	3009.400	BIO	AVEVOC	CROANY
2	Waveform 1	1	0.000000000	14.147726045	2783.700	3460.800	BIO	INDETE	
2	Spectrogram 1	1	0.000000000	14.147726045	2783.700	3460.800	BIO	INDETE	
3	Waveform 1	1	49.602268422	50.965904667	9329.200	24677.100	BIO	INDETE	
3	Spectrogram 1	1	49.602268422	50.965904667	9329.200	24677.100	BIO	INDETE	
4	Waveform 1	1	0.227272708	59.999994792	0.000	752.400		INDETE	
4	Spectrogram 1	1	0.227272708	59.999994792	0.000	752.400		INDETE	
5	Waveform 1	1	52.613631796	53.749995334	11134.800	22269.600	BIO	INDETE	
5	Spectrogram 1	1	52.613631796	53.749995334	11134.800	22269.600	BIO	INDETE	
6	Waveform 1	1	0.113636354	59.999994792	6620.700	8727.300	BIO	INSECT	
6	Spectrogram 1	1	0.113636354	59.999994792	6620.700	8727.300	BIO	INSECT	
7	Waveform 1	1	0.681818123	59.943176615	3987.500	4739.800	BIO	INSECT	
7	Spectrogram 1	1	0.681818123	59.943176615	3987.500	4739.800	BIO	INSECT	
8	Waveform 1	1	49.999995660	50.624995605	9329.200	21065.800	BIO	INSECT	
8	Spectrogram 1	1	49.999995660	50.624995605	9329.200	21065.800	BIO	INSECT	
9	Waveform 1	1	26.931815844	32.329542648	6244.500	7297.800	BIO		
9	Spectrogram 1	1	26.931815844	32.329542648	6244.500	7297.800	BIO		
