Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Center Freq (Hz)	Tipo	Id	Determinación	Feeding Buzz
1	Waveform 1	1	4.536584972	5.609755611	1005.236	2952.880					
1	Spectrogram 1	1	4.536584972	5.609755611	1005.236	2952.880	1875.000				
2	Waveform 1	1	0.000000000	59.999994792	0.000	628.272		ANT	TRAMOT		
2	Spectrogram 1	1	0.000000000	59.999994792	0.000	628.272	0.000	ANT	TRAMOT		
3	Waveform 1	1	0.926829188	59.999994792	3518.325	4649.215		BIO	INSECT		
3	Spectrogram 1	1	0.926829188	59.999994792	3518.325	4649.215	4125.000	BIO	INSECT		
4	Waveform 1	1	24.536583236	28.390241438	4963.351	5465.969		BIO	INSECT		
4	Spectrogram 1	1	24.536583236	28.390241438	4963.351	5465.969	5250.000	BIO	INSECT		
5	Waveform 1	1	0.000000000	59.999994792	4900.524	5340.314		BIO	INSECT		
5	Spectrogram 1	1	0.000000000	59.999994792	4900.524	5340.314	5250.000	BIO	INSECT		
6	Waveform 1	1	0.000000000	59.999994792	5905.759	6408.377		BIO	INSECT		
6	Spectrogram 1	1	0.000000000	59.999994792	5905.759	6408.377	6375.000	BIO	INSECT		
7	Waveform 1	1	0.000000000	59.999994792	7790.576	8230.366		BIO	INSECT		
7	Spectrogram 1	1	0.000000000	59.999994792	7790.576	8230.366	7875.000	BIO	INSECT		
8	Waveform 1	1	0.000000000	59.999994792	5968.586	7413.613		BIO	INSECT		
8	Spectrogram 1	1	0.000000000	59.999994792	5968.586	7413.613	6750.000	BIO	INSECT		
9	Waveform 1	1	0.000000000	59.756092374	9738.220	14701.571		BIO	INSECT		
9	Spectrogram 1	1	0.000000000	59.756092374	9738.220	14701.571	12375.000	BIO	INSECT		
10	Waveform 1	1	0.000000000	59.999994792	18596.859	19099.476		BIO	INSECT		
10	Spectrogram 1	1	0.000000000	59.999994792	18596.859	19099.476	18750.000	BIO	INSECT		
11	Waveform 1	1	39.902435561	43.999996181	8544.503	30430.001		BIO	INSECT		
11	Spectrogram 1	1	39.902435561	43.999996181	8544.503	30430.001	17625.000	BIO	INSECT		
12	Waveform 1	1	17.658535053	31.268289969	10052.356	31290.016		BIO	MURCIE	MOLOSSI	YES
12	Spectrogram 1	1	17.658535053	31.268289969	10052.356	31290.016	19500.000	BIO	MURCIE	MOLOSSI	YES
13	Waveform 1	1	31.609753354	59.999994792	15897.346	21614.623		BIO	INSECT		
13	Spectrogram 1	1	31.609753354	59.999994792	15897.346	21614.623	18750.000	BIO	INSECT		
14	Waveform 1	1	0.390243869	3.658536268	26138.183	28085.827		BIO	INSECT		
14	Spectrogram 1	1	0.390243869	3.658536268	26138.183	28085.827	27375.000	BIO	INSECT		
15	Waveform 1	1	0.000000000	4.554740105	46500.000	59625.000		BIO	MURCIE	SACCAN	
15	Spectrogram 1	1	0.000000000	4.554740105	46500.000	59625.000	55500.000	BIO	MURCIE	SACCAN	
