,Begin Time (s),End Time (s),Low Freq (Hz),High Freq (Hz),Center Freq (Hz),Tipo,Id,Determinacion,fname,fname_annot,sensor_name,Feeding buzz
1,3.273753244,37.19661013,1226.837,3067.093,2250.0,BIO,AVEVOC,NYCALB,G001_20211112_203000.WAV,G001_20211112_203000.Table.1.selections.txt,G001,
3,14.336781446,59.999994792,9867.867,19193.544,16125.0,BIO,INSECT,,G001_20211112_203000.WAV,G001_20211112_203000.Table.1.selections.txt,G001,
5,7.281278766,13.264345039,11277.562,24181.696,16125.0,BIO,INSECT,,G001_20211112_203000.WAV,G001_20211112_203000.Table.1.selections.txt,G001,
7,0.0,4.063969544,19627.296,21163.537,20625.0,BIO,INSECT,,G001_20211112_203000.WAV,G001_20211112_203000.Table.1.selections.txt,G001,
9,0.0,59.999994792,5747.219,7361.022,6750.0,BIO,INSECT,,G001_20211112_203000.WAV,G001_20211112_203000.Table.1.selections.txt,G001,
11,0.0,59.999994792,7591.054,9124.601,7875.0,BIO,INSECT,,G001_20211112_203000.WAV,G001_20211112_203000.Table.1.selections.txt,G001,
13,0.0,59.999994792,4370.607,5290.735,4875.0,BIO,INSECT,,G001_20211112_203000.WAV,G001_20211112_203000.Table.1.selections.txt,G001,
15,0.0,59.999994792,3220.447,4063.898,3750.0,BIO,INSECT,,G001_20211112_203000.WAV,G001_20211112_203000.Table.1.selections.txt,G001,
17,0.80114727,9.990591795,18976.668,29811.311,21000.0,BIO,MURCIE,,G001_20211112_203000.WAV,G001_20211112_203000.Table.1.selections.txt,G001,
19,0.0,59.999994792,0.0,2913.738,375.0,BIO,,,G001_20211112_203000.WAV,G001_20211112_203000.Table.1.selections.txt,G001,
1,0.677328257,59.999994792,16157.277,26133.582,21375.0,BIO,,,G001_20211115_073000.WAV,G001_20211115_073000.Table.1.selections.txt,G001,
3,0.0,59.999994792,7667.732,9047.923,8250.0,BIO,INSECT,,G001_20211115_073000.WAV,G001_20211115_073000.Table.1.selections.txt,G001,
5,0.564440214,12.417684717,2146.965,6977.636,3000.0,BIO,INSECT,MILCHI,G001_20211115_073000.WAV,G001_20211115_073000.Table.1.selections.txt,G001,
7,17.441202625,23.875821069,2146.965,5060.703,3375.0,BIO,AVEVOC,,G001_20211115_073000.WAV,G001_20211115_073000.Table.1.selections.txt,G001,
9,30.874879728,47.41297801,1840.256,6594.249,3750.0,BIO,AVEVOC,MILCHI,G001_20211115_073000.WAV,G001_20211115_073000.Table.1.selections.txt,G001,
1,0.0,59.999994792,10121.406,18709.265,15750.0,BIO,INSECT,,G001_20211116_190000.WAV,G001_20211116_190000.Table.1.selections.txt,G001,
3,0.0,59.999994792,8127.796,8817.891,8250.0,BIO,INSECT,,G001_20211116_190000.WAV,G001_20211116_190000.Table.1.selections.txt,G001,
5,0.0,59.999994792,7207.668,7897.764,7875.0,BIO,INSECT,,G001_20211116_190000.WAV,G001_20211116_190000.Table.1.selections.txt,G001,
7,0.0,59.999994792,6057.508,6824.281,6375.0,BIO,INSECT,,G001_20211116_190000.WAV,G001_20211116_190000.Table.1.selections.txt,G001,
9,0.0,17.328314582,5444.089,5904.153,5625.0,BIO,INSECT,,G001_20211116_190000.WAV,G001_20211116_190000.Table.1.selections.txt,G001,
11,32.9068645,59.999994792,5444.089,5904.153,5625.0,BIO,INSECT,,G001_20211116_190000.WAV,G001_20211116_190000.Table.1.selections.txt,G001,
13,18.062086861,20.602067826,5444.089,5904.153,5625.0,BIO,INSECT,,G001_20211116_190000.WAV,G001_20211116_190000.Table.1.selections.txt,G001,
15,0.0,59.999994792,4600.639,5060.703,4875.0,BIO,INSECT,,G001_20211116_190000.WAV,G001_20211116_190000.Table.1.selections.txt,G001,
17,0.0,59.999994792,3373.802,4523.962,4500.0,BIO,INSECT,,G001_20211116_190000.WAV,G001_20211116_190000.Table.1.selections.txt,G001,
1,18.682971097,28.391342785,8894.569,18709.265,16125.0,BIO,INSECT,,G001_20211116_203000.WAV,G001_20211116_203000.Table.1.selections.txt,G001,
3,0.0,2.765757051,9814.696,20549.521,16125.0,BIO,INSECT,,G001_20211116_203000.WAV,G001_20211116_203000.Table.1.selections.txt,G001,
5,0.0,59.717774684,8127.796,8971.246,8250.0,BIO,INSECT,,G001_20211116_203000.WAV,G001_20211116_203000.Table.1.selections.txt,G001,
7,0.0,59.999994792,5980.831,6900.958,6375.0,BIO,INSECT,,G001_20211116_203000.WAV,G001_20211116_203000.Table.1.selections.txt,G001,
9,0.0,59.999994792,6977.636,8051.118,7500.0,BIO,INSECT,,G001_20211116_203000.WAV,G001_20211116_203000.Table.1.selections.txt,G001,
