,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_features,param_n_estimators,params,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,split4_test_f1,split5_test_f1,split6_test_f1,split7_test_f1,split8_test_f1,split9_test_f1,mean_test_f1,std_test_f1,rank_test_f1,split0_train_f1,split1_train_f1,split2_train_f1,split3_train_f1,split4_train_f1,split5_train_f1,split6_train_f1,split7_train_f1,split8_train_f1,split9_train_f1,mean_train_f1,std_train_f1
15,0.36684379577636717,0.052960717144320976,0.10769224166870117,0.0016430090778756128,10,100,"{'max_features': 10, 'n_estimators': 100}",0.8484848484848485,0.7333333333333334,0.8275862068965517,0.8387096774193549,0.896551724137931,0.7999999999999999,0.8275862068965517,0.8387096774193549,0.8666666666666666,0.9375,0.8415128341254594,0.051724149831500865,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
10,0.9963333606719971,0.10584657868254065,0.11039543151855469,0.003897553157102555,6,300,"{'max_features': 6, 'n_estimators': 300}",0.8387096774193549,0.7333333333333334,0.8275862068965517,0.8387096774193549,0.896551724137931,0.7999999999999999,0.8275862068965517,0.8666666666666666,0.8666666666666666,0.9032258064516129,0.8399035965888023,0.04680495865974805,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
16,1.2477173566818238,0.11176660292064361,0.10785174369812012,0.0022915560348444404,10,300,"{'max_features': 10, 'n_estimators': 300}",0.8125,0.7333333333333334,0.8275862068965517,0.8387096774193549,0.8148148148148148,0.7741935483870969,0.8275862068965517,0.9032258064516129,0.8666666666666666,0.9375,0.8336116260865982,0.055870770851365,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
17,2.0150766134262086,0.14169745983108373,0.10761003494262696,0.002361168813100987,10,500,"{'max_features': 10, 'n_estimators': 500}",0.8125,0.7333333333333334,0.8275862068965517,0.8387096774193549,0.8148148148148148,0.75,0.8275862068965517,0.9032258064516129,0.8666666666666666,0.9375,0.8311922712478885,0.058836462874855604,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
21,0.36366658210754393,0.029357053152093165,0.12558622360229493,0.017626825882787477,14,100,"{'max_features': 14, 'n_estimators': 100}",0.8125,0.7741935483870968,0.8275862068965517,0.8387096774193549,0.8148148148148148,0.7741935483870969,0.7999999999999999,0.875,0.8666666666666666,0.9032258064516129,0.8286890269023195,0.04057280059418569,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
23,2.341094970703125,0.1963793893981885,0.10875127315521241,0.0021200907562437814,14,500,"{'max_features': 14, 'n_estimators': 500}",0.8125,0.7333333333333334,0.8275862068965517,0.8387096774193549,0.8148148148148148,0.75,0.8275862068965517,0.875,0.8666666666666666,0.9375,0.8283696906027274,0.05591771716167481,6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
22,1.3831241846084594,0.11949395077528152,0.11072707176208496,0.00232886646390596,14,300,"{'max_features': 14, 'n_estimators': 300}",0.8125,0.7333333333333334,0.8275862068965517,0.8387096774193549,0.7692307692307693,0.75,0.8275862068965517,0.9032258064516129,0.8666666666666666,0.9375,0.8266338666894839,0.061628329336484565,7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
11,1.7688748598098756,0.088241583856952,0.11029262542724609,0.004933727194027563,6,500,"{'max_features': 6, 'n_estimators': 500}",0.8125,0.7333333333333334,0.8275862068965517,0.8387096774193549,0.8148148148148148,0.7586206896551724,0.8275862068965517,0.8666666666666666,0.8666666666666666,0.9032258064516129,0.8249710068800724,0.04781401616186713,8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
14,0.10851244926452637,0.0017920654200340533,0.10746424198150635,0.0016487139884384394,10,10,"{'max_features': 10, 'n_estimators': 10}",0.8125,0.7333333333333334,0.7857142857142857,0.8666666666666666,0.7857142857142857,0.75,0.8666666666666666,0.8666666666666666,0.8666666666666666,0.9032258064516129,0.8237154377880185,0.05506176777977658,9,0.9895470383275261,0.9824561403508771,0.9790209790209791,0.9826989619377163,0.975609756097561,0.9861111111111112,0.9861111111111112,0.9790209790209791,0.9862068965517242,0.9896907216494845,0.983647369517907,0.0044693191023247245
29,2.69776029586792,0.22308647441033222,0.1093672513961792,0.0014410568261310488,18,500,"{'max_features': 18, 'n_estimators': 500}",0.787878787878788,0.7333333333333334,0.8275862068965517,0.8387096774193549,0.8148148148148148,0.75,0.8275862068965517,0.8484848484848485,0.8666666666666666,0.9375,0.823256054239091,0.05533924295004955,10,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
13,0.10754251480102539,0.0017691036789699106,0.10568242073059082,0.00191188473075529,10,5,"{'max_features': 10, 'n_estimators': 5}",0.8749999999999999,0.7741935483870968,0.7857142857142857,0.787878787878788,0.7407407407407406,0.7741935483870969,0.7999999999999999,0.8666666666666666,0.8484848484848485,0.9375,0.8190372426259522,0.05735583668873136,11,0.9614035087719298,0.972027972027972,0.9825783972125435,0.9829351535836177,0.9790209790209791,0.9686411149825784,0.9686411149825784,0.9861111111111112,0.9828178694158075,0.9686411149825784,0.9752818336091696,0.007970899506725788
