eventID,sensor_name,decimalLat,decimalLon
ANH_274,G001,7.411138889,-73.79141667
ANH_284,G002,7.342555556,-73.7065
ANH_089,G003,7.274891,-73.757132
ANH_257,G004,7.255388889,-73.78183333
ANH_324,G005,7.365361111,-73.87716667
ANH_390,G006,7.295555556,-73.70641667
ANH_232,G007,7.295416667,-73.87488889
ANH_291,G008,7.400527778,-73.86597222
ANH_062,G010,7.288832,-73.722209
ANH_211,G011,7.381027778,-73.80144444
ANH_350,G012,7.20975,-73.87575
ANH_214,G013,7.350388889,-73.73913889
ANH_121,G014,7.368472222,-73.89280556
ANH_327,G015,7.225138889,-73.85913889
ANH_360,G016,7.319888889,-73.71069444
ANH_058,G017,7.358,-73.71075
ANH_182,G018,7.255944445,-73.86463889
ANH_222,G019,7.286388889,-73.80555556
ANH_077,G020,7.364944,-73.747972
ANH_217,G021,7.354972222,-73.72508333
ANH_235,G022,7.268861111,-73.82702778
ANH_252,G023,7.293113926,-73.76209124
ANH_238,G024,7.348388889,-73.82058333
ANH_192,G025,7.445833334,-73.86736111
ANH_081,G026,7.402611,-73.853472
ANH_282,G027,7.435444445,-73.80936111
ANH_243,G029,7.379222222,-73.78475
ANH_248,G030,7.260694445,-73.81363889
ANH_069,G031,7.283222,-73.796556
ANH_230,G032,7.308972222,-73.85983333
ANH_159,G033,7.278055556,-73.82661111
ANH_334,G035,7.219888889,-73.88869444
ANH_289,G036,7.309314725,-73.71706988
ANH_375,G047,7.323666667,-73.71661111
ANH_228,G037,7.370194445,-73.84625
ANH_364,G038,7.351472222,-73.70275
ANH_099,G039,7.2305,-73.83025
ANH_250,G040,7.306527778,-73.79180556
ANH_280,G041,7.25675,-73.91444444
ANH_272,G042,7.269045153,-73.71270915
ANH_234,G043,7.263861111,-73.8535
ANH_395,G044,7.325611111,-73.80152778
ANH_254,G045,7.255666667,-73.84058333
ANH_038,G046,7.249222,-73.895306
ANH_194,G049,7.382194445,-73.873
ANH_064,G048,7.372222,-73.862972
ANH_241,G050,7.381805556,-73.81436111
ANH_370,G051,7.285944445,-73.85475
ANH_223,G052,7.263611111,-73.90430556
ANH_145,G053,7.238027878,-73.91163889
ANH_388,G054,7.443805556,-73.79955556
ANH_239,G055,7.357861111,-73.82833333
ANH_389,G056,7.454416667,-73.78519444
ANH_012,G057,7.396611,-73.839722
ANH_181,G058,7.264111111,-73.8785
ANH_236,G059,7.244333334,-73.86847222
ANH_351,G060,7.288138889,-73.88508333
ANH_353,G061,7.343194445,-73.87822222
ANH_209,G062,7.373,-73.82802778
ANH_338,G063,7.279083334,-73.80711111
ANH_215,G064,7.356083334,-73.76063889
ANH_210,G065,7.350805556,-73.80047222
ANH_275,G066,7.383444445,-73.82483333
ANH_221,G067,7.306722222,-73.84922222
ANH_106,G068,7.38475,-73.84575
ANH_225,G069,7.295333334,-73.843
ANH_160,G070,7.263055556,-73.82136111
ANH_183,G071,7.269583334,-73.84883333
ANH_189,G072,7.304722222,-73.70386111
ANH_213,G074,7.354138889,-73.78863889
ANH_088,G075,7.368556,-73.798417
ANH_240,G076,7.395027778,-73.80772222
ANH_166,G077,7.407027778,-73.86494444
ANH_279,G078,7.269583334,-73.81569444
ANH_227,G079,7.250833334,-73.81491667
ANH_253,G080,7.333166667,-73.83427778
ANH_212,G081,7.390583334,-73.783
ANH_031,G028,7.423167,-73.775972
ANH_283,G082,7.415333334,-73.84297222
ANH_336,G083,7.238555556,-73.82358333
ANH_101,G084,7.274133,-73.738422
ANH_312,G085,7.344193269,-73.75756446
ANH_363,G086,7.371444445,-73.77575
ANH_233,G087,7.284666667,-73.8395
ANH_095,G088,7.370163,-73.721601
ANH_197,G089,7.417861111,-73.85855556
ANH_231,G090,7.307944445,-73.83508333
ANH_317,G091,7.304583334,-73.82708333
ANH_135,G092,7.239027778,-73.87933333
ANH_208,G098,7.347972222,-73.83280556
ANH_242,G093,7.391888889,-73.77269444
ANH_226,G094,7.240833222,-73.89630567
ANH_109,G095,7.380638889,-73.88080556
ANH_256,G096,7.295527778,-73.78208333
ANH_290,G097,7.324361111,-73.74205556
ANH_229,G099,7.334694445,-73.85297222
ANH_066,G100,7.364778,-73.810528
ANH_361,G6585,7.429,-73.81827778
ANH_085,G6594,7.276944,-73.904
ANH_393,G6597,7.340527778,-73.72497222
ANH_085,G6598,7.276944,-73.904
ANH_393,G6606,7.340527778,-73.72497222
ANH_361,G6611,7.429,-73.81827778
