Fecha,Hora,Estación ANH,Grabadora,dosel (%),Estado de la grabadora,Descripción de vegetación,Ruido 1,Ruido 2,Ruido 3,Ruido 4,Cambio de memoria ,Cambio de baterías,Play Chime,Foto de vegetación,Instaladores
16/04/2022,10:25:00,ANH393,G6606,,,,,,,,,,,,
16/04/2022,11:12:00,ANH284,G002,17.2,Buena,Bosque. cerca a vía.,54.9,53.8,43.8,52.8,TRUE,TRUE,TRUE,file:///data/user/0/com.luckydroid.droidbase/files/files/-208641807/2022-04-16 11.14.39.jpg,Cristina Carranza
16/04/2022,11:52:00,ANH364,G038,23.36,Buena,Bosque. entre palma y bosque.,33.9,38,41.7,53.6,TRUE,TRUE,TRUE,file:///data/user/0/com.luckydroid.droidbase/files/files/-208641807/2022-04-16 11.53.09.jpg,Cristina Carranza
16/04/2022,12:23:00,ANH058,G017,44.57,Buena,Bosque. junto a cañada.,56.6,52.6,57.5,59.6,TRUE,TRUE,TRUE,file:///data/user/0/com.luckydroid.droidbase/files/files/-208641807/2022-04-16 12.24.51.jpg,Cristina Carranza
16/04/2022,13:17:00,ANH095,G088,16.81,Buena,Bosque. al borde de palma,47.6,63.6,61.4,55.1,TRUE,TRUE,TRUE,file:///data/user/0/com.luckydroid.droidbase/files/files/-208641807/2022-04-16 13.18.21.jpg,Cristina Carranza
16/04/2022,13:51:00,ANH217,G021,17.86,Buena,Palma. al borde de bosque,55.5,41.8,44.1,44,TRUE,TRUE,TRUE,file:///data/user/0/com.luckydroid.droidbase/files/files/-208641807/2022-04-16 13.51.52.jpg,Cristina Carranza
17/04/2022,8:18:00,ANH254,G045,3.41,Buena,Palma. crecimiento de herbáceas al rededor ,64.3,57.7,45.7,58.1,TRUE,TRUE,TRUE,file:///data/user/0/com.luckydroid.droidbase/files/files/-208641807/2022-04-17 08.20.17.jpg,Cristina Carranza
17/04/2022,9:19:00,ANH236,G059,44.79,Buena,Bosque. mayor hojarasca ,54.3,58.6,58.5,49.2,TRUE,TRUE,TRUE,file:///data/user/0/com.luckydroid.droidbase/files/files/-208641807/2022-04-17 09.20.47.jpg,Cristina Carranza
17/04/2022,9:52:00,ANH182,G018,50.77,Buena,Bosque. La cámara estaba apagada ,38.7,46.4,34.7,45.2,TRUE,TRUE,TRUE,file:///data/user/0/com.luckydroid.droidbase/files/files/-208641807/2022-04-17 09.54.51.jpg,Cristina Carranza
17/04/2022,11:13:00,ANH159,G033,13.19,Buena,Bosque.,60.8,55.6,58.2,45.9,TRUE,TRUE,TRUE,file:///data/user/0/com.luckydroid.droidbase/files/files/-208641807/2022-04-17 11.14.36.jpg,Cristina Carranza
17/04/2022,11:54:00,ANH160,G070,22.23,Buena,Bosque .,61.7,64.1,61.7,64.7,TRUE,TRUE,TRUE,file:///data/user/0/com.luckydroid.droidbase/files/files/-208641807/2022-04-17 11.55.04.jpg,Cristina Carranza
17/04/2022,12:44:00,ANH235,G022,35.68,Buena,Bosque. Árboles caídos alrededor de la cámara.,57.2,64,60.7,51,TRUE,TRUE,TRUE,file:///data/user/0/com.luckydroid.droidbase/files/files/-208641807/2022-04-17 12.44.32.jpg,Cristina Carranza
17/04/2022,13:27:00,ANH183,G071,17.59,Buena,Bosque. mucho zancudo,59.5,55.9,54.2,46.8,TRUE,TRUE,TRUE,file:///data/user/0/com.luckydroid.droidbase/files/files/-208641807/2022-04-17 13.28.32.jpg,Cristina Carranza
17/04/2022,13:44:00,ANH234,G043,36.42,Buena,Bosque,61.9,64.1,60.9,55.7,TRUE,TRUE,TRUE,file:///data/user/0/com.luckydroid.droidbase/files/files/-208641807/2022-04-17 13.45.30.jpg,Cristina Carranza
17/04/2022,14:16:00,ANH181,G058,52.4,Buena,bosque. Junto a caño. mayor hojarasca,54.1,52.3,52.4,49.6,TRUE,TRUE,TRUE,file:///data/user/0/com.luckydroid.droidbase/files/files/-208641807/2022-04-17 14.17.07.jpg,Cristina Carranza
19/04/2022,8:04:00,ANH290,G097,34.61,Buena,Bosque. frente a la cámara agua a la altura de la pantorrilla,52.8,59.7,50.3,49.5,TRUE,TRUE,TRUE,file:///data/user/0/com.luckydroid.droidbase/files/files/-208641807/2022-04-19 08.06.20.jpg,Cristina Carranza
19/04/2022,9:16:00,ANH360,G016,28.72,Buena,Bosque. La quebrada está crecida,,,,,,,,,
19/04/2022,10:21:00,ANH375,G047,50.54,Buena,Bosque. sin cambios significativos en la vegetación. lloviendo ,65.1,70.5,64.8,58,TRUE,TRUE,TRUE,file:///data/user/0/com.luckydroid.droidbase/files/files/-208641807/2022-04-19 10.22.55.jpg,Cristina Carranza
19/04/2022,11:12:00,ANH289,G036,17.01,Buena,Bosque. Mayor hojarasca ,55.5,53.9,59.3,54.3,TRUE,TRUE,TRUE,file:///data/user/0/com.luckydroid.droidbase/files/files/-208641807/2022-04-19 11.13.39.jpg,Cristina Carranza
19/04/2022,11:46:00,ANH189,G072,15.16,Buena,Bosque. mayor hojarasca. Más erosión por el paso de agua ,41.3,65.8,50,48.9,TRUE,TRUE,TRUE,file:///data/user/0/com.luckydroid.droidbase/files/files/-208641807/2022-04-19 11.47.55.jpg,Carranza Cristina
19/04/2022,12:21:00,ANH390,G006,38.55,Buena,Bosque. Mayor hojarasca ,41.5,53.7,54.5,61.4,TRUE,TRUE,TRUE,file:///data/user/0/com.luckydroid.droidbase/files/files/-208641807/2022-04-19 12.22.37.jpg,Cristina Carranza
19/04/2022,12:59:00,ANH062,G010,11.82,Buena,Palma. sin cambios en la vegetación ,59.1,39.5,46.3,58.9,TRUE,TRUE,TRUE,file:///data/user/0/com.luckydroid.droidbase/files/files/-208641807/2022-04-19 13.00.30.jpg,Cristina Carranza
20/04/2022,8:21:00,ANH240,G076,34.21,Buena,Bosque. sin cambios significativos ,52.6,48.2,59.7,55.1,TRUE,TRUE,TRUE,file:///data/user/0/com.luckydroid.droidbase/files/files/-208641807/2022-04-20 08.22.20.jpg,Cristina Carranza
20/04/2022,8:53:00,ANH241,G050,33.56,Buena,Bosque. quebrada con mayor nivel de agua,46.5,48.7,45.2,44.5,TRUE,TRUE,TRUE,file:///data/user/0/com.luckydroid.droidbase/files/files/-208641807/2022-04-20 08.54.37.jpg,Cristina Carranza
20/04/2022,9:16:00,ANH275,G066,32.14,Buena,Bosque. mayor humedad ,56.1,55.2,60.9,57.3,TRUE,TRUE,TRUE,file:///data/user/0/com.luckydroid.droidbase/files/files/-208641807/2022-04-20 09.17.03.jpg,Cristina Carranza
20/04/2022,9:56:00,ANH209,G062,8.53,Buena,Palma olvidada. sin cambios significativos. CT golpeada. grabadora sin membrana,56.2,58.1,55.8,49.2,TRUE,TRUE,TRUE,file:///data/user/0/com.luckydroid.droidbase/files/files/-208641807/2022-04-20 09.58.02.jpg,Cristina Carranza
20/04/2022,10:52:00,ANH238,G024,51.67,Buena,Bosque. sin cambios ,55.8,46.5,50.2,55.8,TRUE,TRUE,TRUE,file:///data/user/0/com.luckydroid.droidbase/files/files/-208641807/2022-04-20 10.53.51.jpg,Cristina Carranza
20/04/2022,12:24:00,ANH208,G098,8.88,Buena,Palma. sin cambios significativos ,56.2,55.2,60.3,61,TRUE,TRUE,TRUE,file:///data/user/0/com.luckydroid.droidbase/files/files/-208641807/2022-04-20 12.25.35.jpg,Cristina Carranza
20/04/2022,11:33:00,ANH239,G055,33.4,Buena,Bosque. sin cambios ,55.2,50.7,56.1,48.6,TRUE,TRUE,TRUE,file:///data/user/0/com.luckydroid.droidbase/files/files/-208641807/2022-04-20 19.09.22.jpg,Cristina Carranza
20/04/2022,13:18:00,ANH253,G080,25.7,Buena,Bosque. sin cambios ,49.3,56.2,55.9,59.1,TRUE,TRUE,TRUE,file:///data/user/0/com.luckydroid.droidbase/files/files/-208641807/2022-04-20 19.11.32.jpg,Cristina Carranza
20/04/2022,14:11:00,ANH229,G099,20.9,Buena,Bosque. sin cambios ,60.1,56.2,58.4,61.8,TRUE,TRUE,TRUE,file:///data/user/0/com.luckydroid.droidbase/files/files/-208641807/2022-04-20 19.13.16.jpg,Cristina Carranza
21/04/2022,8:19:00,ANH370,G051,26.17,Buena,Bosque. Rastro de caída de árboles ,58.2,47.3,62.3,53.9,TRUE,TRUE,TRUE,file:///data/user/0/com.luckydroid.droidbase/files/files/-208641807/2022-04-21 08.19.55.jpg,Cristina Carranza
21/04/2022,8:58:00,ANH233,G087,21.48,Buena,Bosque. Caída de ramas alrededor de la CT. cámara trampa en buen estado,,,,,,,,,
21/04/2022,9:52:00,ANH231,G090,21.14,Buena,Bosque. Rastro de inundación ,53.1,53.8,61.6,52.8,TRUE,TRUE,TRUE,file:///data/user/0/com.luckydroid.droidbase/files/files/-208641807/2022-04-21 09.56.09.jpg,Cristina Carranza
21/04/2022,10:33:00,ANH225,G069,12.09,Buena,Palma. no cambios en la vegetación. CT golpeada por búfalo. memoria llena de pasto. Grabadora sin membrana. ,52.8,53.4,61.2,56.4,TRUE,TRUE,TRUE,file:///data/user/0/com.luckydroid.droidbase/files/files/-208641807/2022-04-21 10.34.57.jpg,Cristina Carranza
21/04/2022,11:54:00,ANH230,G032,54.53,Buena,Bosque. Mayor humedad ,39.7,43.6,49,44.5,TRUE,TRUE,TRUE,file:///data/user/0/com.luckydroid.droidbase/files/files/-208641807/2022-04-21 11.55.46.jpg,Cristina Carranza
21/04/2022,12:11:00,ANH221,G067,0,Robada ,Palma. sin cambios.,0,0,0,0,TRUE,TRUE,TRUE,file:///data/user/0/com.luckydroid.droidbase/files/files/-208641807/2022-04-21 12.12.06.jpg,Cristina Carranza
21/04/2022,12:40:00,ANH232,G007,47.26,Buena,Bosque. sin cambios en la vegetación ,46.2,41.3,55.3,40.7,TRUE,TRUE,TRUE,file:///data/user/0/com.luckydroid.droidbase/files/files/-208641807/2022-04-21 12.40.32.jpg,Cristina Carranza
21/04/2022,13:07:00,ANH351,G060,9.54,Buena,Palma.  Sin cambios significativos ,52.4,55.9,60.2,50.9,TRUE,TRUE,TRUE,file:///data/user/0/com.luckydroid.droidbase/files/files/-208641807/2022-04-21 13.08.20.jpg,Cristina Carranza
22/04/2022,7:59:00,ANH291,G008,19.18,Buena,Herbazal. CT inundada ,53.3,57,58.3,50.5,TRUE,TRUE,TRUE,file:///data/user/0/com.luckydroid.droidbase/files/files/-208641807/2022-04-22 08.01.10.jpg,Cristina Carranza
22/04/2022,8:36:00,ANH166,G077,5.18,Buena,Pastizal. el pasto creció.,57.2,53.4,59.1,55,TRUE,TRUE,TRUE,file:///data/user/0/com.luckydroid.droidbase/files/files/-208641807/2022-04-22 08.38.05.jpg,Cristina Carranza
22/04/2022,9:34:00,ANH197,G089,46.69,Buena,Arbustal tardío ,55.4,55.6,56.7,57.6,TRUE,TRUE,TRUE,file:///data/user/0/com.luckydroid.droidbase/files/files/-208641807/2022-04-22 09.35.24.jpg,Cristina Carranza
22/04/2022,10:47:00,ANH081,G026,30.53,Buena,Herbazal,43.3,39,56.2,52.1,TRUE,TRUE,TRUE,file:///data/user/0/com.luckydroid.droidbase/files/files/-208641807/2022-04-22 10.48.30.jpg,Cristina Carranza
