sensor_name,ID_MUEST_PT,TASA_MUEST,RES_BITS,MICROFONO,REF_GRAB,FECHA_INI,FECHA_FIN,HORA_INI,HORA_FIN,NUM_GRAB,TASA_GRAB,ESTACIONAL,ALTURA,GEOFONIA,ANTROPOFONIA,BIOFONIA,ACI_Q25,ACI_Q50,ACI_Q75,ADI_Q25,ADI_Q50,ADI_Q75,NDSI_Q25,NDSI_Q50,NDSI_Q75,BIO_Q25,BIO_Q50,BIO_Q75,AEI_Q25,AEI_Q50,AEI_Q75,NP_Q25,NP_Q50,NP_Q75,SC_Q25,SC_Q50,SC_Q75,HF_Q25,HF_Q50,HF_Q75,HT_Q25,HT_Q50,HT_Q75,ASU
G001,ANH_274,192000.0,16.0,Audiomoth v1.20,Audiomoth v1.20,2022-03-28,2022-04-16,00:00:00,23:30:00,960.0,60 segundos cada 1800 segundos,Aguas bajas T2,1.5,0.0,16.667,100.0,305.11906169056437,307.77422494353124,313.72895693660735,3.019651223470069,3.034553012012923,3.0482955105107967,0.6344521723741311,0.8031916383768909,0.9158016692911572,30.52423273799507,43.84410030017574,84.11127584543742,0.6381103831029931,0.6998955351554272,0.7542894248456206,7.0,23.5,43.0,0.0062286017462111,0.0349736075456459,0.08930342975166874,0.6768483912088232,0.7314222403980053,0.797778559824288,0.9309035996715184,0.9764211929158106,0.9863464211568402,0.4013671875
G002,ANH_284,192000.0,16.0,Audiomoth v1.20,Audiomoth v1.20,2022-03-19,2022-04-07,00:00:00,23:30:00,960.0,60 segundos cada 1800 segundos,Aguas bajas T2,1.5,16.667,33.333,100.0,306.12156651316695,310.73761123952033,318.7250538287676,3.0053332292440964,3.0390401184605205,3.05555054027848,0.19585675784617168,0.6440332124304458,0.8595141319424856,20.52439552514015,36.15532477042001,63.056255036535596,0.624826994004382,0.7248299745539146,0.7813407513246852,6.0,16.0,40.0,0.0008487190984522749,0.009506790189821101,0.0585426068350294,0.6912660886948372,0.7805559807470912,0.8343546093130958,0.87977671068748,0.9445159681480628,0.9691466136088518,0.4104817708333333
G003,ANH_089,192000.0,16.0,Audiomoth v1.20,Audiomoth v1.20,2022-03-31,2022-04-19,00:00:00,23:30:00,960.0,60 segundos cada 1800 segundos,Aguas bajas T2,1.5,0.0,0.0,100.0,302.3326689812906,309.71847890870947,323.50067064443505,2.908647490946278,3.034808652997104,3.0444160128128495,0.017798676194551097,0.4912615223919663,0.7729638236022984,5.97811779700149,10.884996353312506,16.277168886851243,0.6514107099627905,0.7917454698171117,0.8640996855936743,1.0,2.0,7.0,0.0,3.539971522895749e-05,0.0014013479861931751,0.7461511209017454,0.8315843298234042,0.8867871740976416,0.9203703215004908,0.9679631603418768,0.9874831709657588,0.12141927083333333
G004,ANH_257,192000.0,16.0,Audiomoth v1.20,Audiomoth v1.20,2022-03-31,2022-04-19,00:00:00,23:30:00,960.0,60 segundos cada 1800 segundos,Aguas bajas T2,1.5,50.0,50.0,100.0,305.72153055725005,311.9676257205018,325.28910889870747,3.0315879485686104,3.045280873601939,3.0582154755200235,0.8732222942008421,0.9662725662550444,0.9940143830205634,25.383101420749306,47.07079208698458,60.11742251266109,0.7156936472497755,0.7744689816731551,0.8153518899459264,12.0,39.0,53.0,0.007723911939493525,0.0563240061639207,0.2617787089505339,0.7957857950431437,0.8278229784986575,0.8680538976284393,0.9013522066242601,0.9480474875547902,0.9783157816755419,0.626953125
G005,ANH_324,192000.0,16.0,Audiomoth v1.20,Audiomoth v1.20,2022-03-29,2022-04-17,00:00:00,23:30:00,960.0,60 segundos cada 1800 segundos,Aguas bajas T2,1.5,16.667,66.667,100.0,304.40648366346466,308.71202127660956,316.5558540276989,0.0,3.021732690942266,3.0337728430768163,-0.865676523904406,-0.3415136744511724,0.29608410031910054,8.544655020309134,22.22190729653319,42.972647097891,0.29360678671105417,0.4445844232508385,0.5480950144154485,3.0,8.0,12.0,0.00012433603682267502,0.0055756736653214,0.018266034541381322,0.32628259438932755,0.47150802383370854,0.5758663889159605,0.9123432881252973,0.9726044645152117,0.982932723579064,0.3245442708333333
G006,ANH_390,192000.0,16.0,Audiomoth v1.20,Audiomoth v1.20,2022-03-22,2022-04-10,00:00:00,23:30:00,960.0,60 segundos cada 1800 segundos,Aguas bajas T2,1.5,33.333,33.333,66.667,302.0047149691802,303.9354168220694,309.0397439771949,3.01476738574524,3.037001613168219,3.053719734960273,-0.1301769959598949,0.5636055262598134,0.8981160507348309,12.89108928843202,24.953308460580434,55.45170186861107,0.6324080694214985,0.6908616279018511,0.771144203832866,4.0,12.0,25.0,0.000329523275094225,0.0048580646232726996,0.05488398071108848,0.6578032601540502,0.7281957004901574,0.8272134545511656,0.9175320534557372,0.9643076434157087,0.9873174272276726,0.21907552083333334
G007,ANH_232,192000.0,16.0,Audiomoth v1.20,Audiomoth v1.20,2022-03-24,2022-04-12,00:00:00,23:30:00,960.0,60 segundos cada 1800 segundos,Aguas bajas T2,1.5,33.333,0.0,83.333,308.555680625493,316.3353533842188,323.3342408948912,3.025085519591906,3.042808768892076,3.057181658303691,0.20239513960332145,0.40159927378815485,0.5877185448960123,13.993547600798982,27.547780748835372,49.47751649313347,0.6111102754377064,0.7064475899797895,0.8054988359670281,6.0,29.0,42.0,0.0017236602081852751,0.02728749900574865,0.0513853088559598,0.6659926382243045,0.7789887856987019,0.9087210375304986,0.8955690128668077,0.954232259493303,0.9760442901047455,0.404296875
G008,ANH_291,192000.0,16.0,Audiomoth v1.20,Audiomoth v1.20,2022-03-25,2022-04-13,00:00:00,23:30:00,960.0,60 segundos cada 1800 segundos,Aguas bajas T2,1.5,0.0,16.667,100.0,302.12580218347694,306.58135915040475,313.431603278356,2.9674050945686354,3.025355537634172,3.0427019749399267,0.4347483966734755,0.7951162357362023,0.88971711439754,32.3136180467789,45.54985037898646,58.429019965132866,0.6213222925796945,0.6765953814788488,0.7193936740812831,8.0,12.0,20.0,0.0095579231118185,0.0289936778730802,0.060778033296709874,0.6438897320580224,0.6961268167526276,0.7368926225969753,0.9515741045353887,0.9854115901081164,0.9911932406095092,0.306640625
G010,ANH_062,192000.0,16.0,Audiomoth v1.20,Audiomoth v1.20,2022-03-22,2022-04-10,00:00:00,23:30:00,960.0,60 segundos cada 1800 segundos,Aguas bajas T2,1.5,20.0,20.0,80.0,300.95387800762546,305.4999394931831,311.5489739975218,3.0235102275630212,3.0453784085887703,3.075071403518688,0.06196838705965602,0.5752729571889826,0.958330860741302,9.784618001244587,16.202961831525478,33.203661289309885,0.6013721361838856,0.7622318389017736,0.844526057501342,0.0,4.0,16.0,0.0,0.000481173907001,0.031875476912830145,0.637164142450472,0.8010878859948998,0.865564103317906,0.9322056881460107,0.9810028225459457,0.9925177746222014,0.3860677083333333
G011,ANH_211,192000.0,16.0,Audiomoth v1.20,Audiomoth v1.20,2022-04-01,2022-04-20,00:00:00,23:30:00,960.0,60 segundos cada 1800 segundos,Aguas bajas T2,1.5,16.667,33.333,83.333,307.2436939712864,312.5750284027588,323.55720030079834,3.0313499071463497,3.0462054019471,3.060229266051649,0.8128054388233354,0.9522386486417425,0.9866666458180269,23.213134836101702,42.84347913948436,63.36848874836881,0.6425325615201407,0.7715517936405158,0.8295475835315251,10.0,27.0,50.0,0.025800929482893174,0.0635625923779605,0.3089665293507342,0.6804327957597993,0.8146998962937377,0.8685915022518148,0.9441822877084048,0.976759758491855,0.988998133221018,0.5846354166666666
