eventID,sensor_name,decimalLat,decimalLon,GrupoBiolo,Cobertura,Plataf
ANH_274,G001,7.411138889,-73.79141667,Sensores Pasivos,Bosque Ripario,Kale
ANH_284,G002,7.342555556000001,-73.7065,Sensores Pasivos,Bosque Ripario,Caracterizacion
ANH_089,G003,7.274891,-73.757132,Sensores Pasivos,Palma,Caracterizacion
ANH_257,G004,7.255388889,-73.78183333,Sensores Pasivos,Palma,Caracterizacion
ANH_324,G005,7.365361111,-73.87716667,Sensores Pasivos,Herbazales,Kale
ANH_390,G006,7.295555556,-73.70641667,Sensores Pasivos,Bosque Denso,Caracterizacion
ANH_232,G007,7.2954166670000005,-73.87488889,Sensores Pasivos,Bosque Ripario,Platero
ANH_291,G008,7.400527778,-73.86597222,Sensores Pasivos,Bosque Ripario,Kale
ANH_062,G010,7.288832000000001,-73.72220899999999,Sensores Pasivos,Bosque Ripario,Caracterizacion
ANH_211,G011,7.381027777999999,-73.80144444,Sensores Pasivos,Palma,Kale
ANH_350,G012,7.20975,-73.87575,Sensores Pasivos,Palma,Platero
ANH_214,G013,7.3503888889999995,-73.73913889,Sensores Pasivos,Palma,Caracterizacion
ANH_121,G014,7.368472222,-73.89280556,Sensores Pasivos,Herbazales,Kale
ANH_327,G015,7.225138889,-73.85913889,Sensores Pasivos,Palma,Platero
ANH_360,G016,7.319888889,-73.71069444,Sensores Pasivos,Bosque Ripario,Caracterizacion
ANH_058,G017,7.358,-73.71075,Sensores Pasivos,Bosque Ripario,Caracterizacion
ANH_182,G018,7.255944445,-73.86463889,Sensores Pasivos,Bosque Ripario,Platero
ANH_222,G019,7.2863888889999995,-73.80555556,Sensores Pasivos,Palma,Platero
ANH_077,G020,7.364944,-73.747972,Sensores Pasivos,Bosque Ripario,Caracterizacion
ANH_217,G021,7.354972222000001,-73.72508333,Sensores Pasivos,Palma,Caracterizacion
ANH_235,G022,7.2688611110000005,-73.82702778,Sensores Pasivos,Bosque Ripario,Platero
ANH_252,G023,7.293113926,-73.76209124,Sensores Pasivos,Bosque Denso,Caracterizacion
ANH_238,G024,7.348388889,-73.82058333,Sensores Pasivos,Bosque Ripario,Kale
ANH_192,G025,7.445833334,-73.86736111,Sensores Pasivos,Pastos,Kale
ANH_081,G026,7.402611,-73.853472,Sensores Pasivos,Palma,Kale
ANH_282,G027,7.435444445,-73.80936111,Sensores Pasivos,Herbazales,Kale
ANH_243,G029,7.379222222,-73.78475,Sensores Pasivos,Bosque Ripario,Kale
ANH_248,G030,7.260694445,-73.81363889,Sensores Pasivos,Bosque Ripario,Platero
ANH_069,G031,7.283222,-73.79655600000001,Sensores Pasivos,Palma,Platero
ANH_230,G032,7.308972222,-73.85983333,Sensores Pasivos,Bosque Ripario,Platero
ANH_159,G033,7.278055556,-73.82661111,Sensores Pasivos,Bosque Ripario,Platero
ANH_334,G035,7.219888889,-73.88869444,Sensores Pasivos,Bosque Ripario,Platero
ANH_289,G036,7.309314725,-73.71706988,Sensores Pasivos,Bosque Ripario,Caracterizacion
ANH_375,G047,7.323666667,-73.71661111,Sensores Pasivos,Bosque Ripario,Caracterizacion
ANH_228,G037,7.370194445,-73.84625,Sensores Pasivos,Bosque Ripario,Kale
ANH_364,G038,7.351472222000001,-73.70275,Sensores Pasivos,Palma,Caracterizacion
ANH_099,G039,7.2305,-73.83025,Sensores Pasivos,Bosque Ripario,Platero
ANH_250,G040,7.3065277779999995,-73.79180556,Sensores Pasivos,Bosque Ripario,Platero
ANH_280,G041,7.25675,-73.91444444,Sensores Pasivos,Herbazales,Platero
ANH_272,G042,7.2690451529999995,-73.71270915,Sensores Pasivos,Pastos,Caracterizacion
ANH_234,G043,7.263861111000001,-73.8535,Sensores Pasivos,Bosque Ripario,Platero
ANH_395,G044,7.325611111000001,-73.80152778,Sensores Pasivos,Bosque Ripario,Kale
ANH_254,G045,7.255666667000001,-73.84058333,Sensores Pasivos,Palma,Platero
ANH_038,G046,7.2492220000000005,-73.895306,Sensores Pasivos,Pastos,Platero
ANH_194,G049,7.382194445,-73.873,Sensores Pasivos,Herbazales,Kale
ANH_064,G048,7.372222,-73.862972,Sensores Pasivos,Palma,Kale
ANH_241,G050,7.381805556000001,-73.81436111,Sensores Pasivos,Bosque Ripario,Kale
