Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Center Freq (Hz)	Tipo	Id	Determinación	Comportamiento	Calidad
1	Waveform 1	1	0.000000000	47.572250206	732.203	5450.847		BIO	AVEVOC	PSITTA		BUENO
1	Spectrogram 1	1	0.000000000	47.572250206	732.203	5450.847	2250.000	BIO	AVEVOC	PSITTA		BUENO
2	Waveform 1	1	0.000000000	59.999994792	0.000	732.203						
2	Spectrogram 1	1	0.000000000	59.999994792	0.000	732.203	0.000					
3	Waveform 1	1	0.000000000	59.999994792	6020.339	6508.475		BIO	INSECT			BUENO
3	Spectrogram 1	1	0.000000000	59.999994792	6020.339	6508.475	6375.000	BIO	INSECT			BUENO
4	Waveform 1	1	0.000000000	59.999994792	9111.864	10738.983		BIO	INSECT			BUENO
4	Spectrogram 1	1	0.000000000	59.999994792	9111.864	10738.983	9750.000	BIO	INSECT			BUENO
5	Waveform 1	1	0.000000000	59.999994792	6915.254	8054.237		BIO	INSECT			BUENO
5	Spectrogram 1	1	0.000000000	59.999994792	6915.254	8054.237	7500.000	BIO	INSECT			BUENO
6	Waveform 1	1	0.000000000	19.421963632	17979.661	27905.085		BIO	INSECT			BUENO
6	Spectrogram 1	1	0.000000000	19.421963632	17979.661	27905.085	21375.000	BIO	INSECT			BUENO
