fname,ALTVOZ,ANIDOM,AVEVOC,FLUAGU,HERPET,HERRAM,INDETE,INSECT,LLUVIA,MAMIFE,MURCIE,PULSOS,SENSAT,SONIND,SONVIE,TRAMOT,VOZHUM
G001_20220328_193000.WAV,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
G001_20220402_060000.WAV,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
G001_20220404_200000.WAV,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
G001_20220420_053000.WAV,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
G001_20220423_063000.WAV,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
G001_20220423_173000.WAV,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
G002_20220319_193000.WAV,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
G002_20220324_060000.WAV,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0
G002_20220326_200000.WAV,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0
G002_20220411_053000.WAV,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0
G002_20220414_063000.WAV,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
G002_20220414_173000.WAV,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
G003_20220331_193000.WAV,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
G003_20220405_060000.WAV,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
G003_20220407_200000.WAV,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
G003_20220423_053000.WAV,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
G003_20220426_063000.WAV,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
G003_20220426_173000.WAV,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
G004_20220331_193000.WAV,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
G004_20220405_060000.WAV,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
G004_20220407_200000.WAV,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
G004_20220423_053000.WAV,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0
G004_20220426_063000.WAV,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,1
G004_20220426_173000.WAV,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
G005_20220329_193000.WAV,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
G005_20220403_060000.WAV,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
G005_20220405_200000.WAV,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0
G005_20220421_053000.WAV,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0
G005_20220424_063000.WAV,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
G005_20220424_173000.WAV,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0
G006_20220322_193000.WAV,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
G006_20220327_060000.WAV,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
G006_20220329_200000.WAV,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
G006_20220414_053000.WAV,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
G006_20220417_063000.WAV,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
G006_20220417_173000.WAV,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
G007_20220324_183000.WAV,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
G007_20220329_050000.WAV,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
G007_20220331_190000.WAV,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0
G007_20220413_180000.WAV,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
G007_20220416_050000.WAV,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
G007_20220419_173000.WAV,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
G008_20220325_190000.WAV,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
G008_20220329_073000.WAV,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
G008_20220331_170000.WAV,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
G008_20220331_193000.WAV,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0
G008_20220407_170000.WAV,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0
G008_20220419_203000.WAV,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0
G010_20220322_193000.WAV,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
G010_20220327_060000.WAV,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
G010_20220329_200000.WAV,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
G010_20220414_053000.WAV,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
G010_20220417_173000.WAV,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0
G011_20220408_060000.WAV,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
G011_20220410_190000.WAV,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
G011_20220414_073000.WAV,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
G011_20220414_193000.WAV,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
G011_20220416_073000.WAV,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
G011_20220419_203000.WAV,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
G012_20220327_193000.WAV,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
G012_20220331_080000.WAV,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
G012_20220402_173000.WAV,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
G012_20220402_200000.WAV,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
G012_20220409_173000.WAV,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
G012_20220421_203000.WAV,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
G013_20220326_190000.WAV,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
G013_20220330_073000.WAV,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
G013_20220401_170000.WAV,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
G013_20220401_193000.WAV,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
G013_20220408_170000.WAV,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
G013_20220420_203000.WAV,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
G014_20220329_193000.WAV,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0
G014_20220403_060000.WAV,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0
G014_20220405_200000.WAV,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0
G014_20220421_053000.WAV,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
G014_20220424_063000.WAV,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
