,AVEVOC,HERPET,INSECT,MAMIFE,MURCIE
ALOSEN,0,0,0,3,0
SAC_SP,0,0,0,0,85
SACLEP,0,0,0,0,20
SACCAN,0,0,0,0,25
SACBIL,0,0,0,0,7
RHO_SP,0,0,0,0,1
PTEPAR,0,0,0,0,7
PHYLLO,0,0,0,0,6
NOCLEP,0,0,0,0,1
NOCALB,0,0,0,0,8
MYCFNI,0,0,0,0,2
MOL_SP,0,0,0,0,71
MOLO_SP,0,0,0,0,1
MOLOTE,0,0,0,0,7
MOLOSSI,0,0,0,0,43
ENGPOS,0,1,0,0,0
MOLMOL,0,0,0,0,22
VESPER,0,0,0,0,44
CICADI,0,0,1,0,0
DRYLIN,1,0,0,0,0
SPOFUN,1,0,0,0,0
RAMDIM,1,0,0,0,0
CERCIN,1,0,0,0,0
PSTWAG,1,0,0,0,0
THRAUP,1,0,0,0,0
CHRICT,1,0,0,0,0
DEN_SP,1,0,0,0,0
MYIMAC,1,0,0,0,0
TYRSUL,1,0,0,0,0
MEGTOR,1,0,0,0,0
MYRLON,1,0,0,0,0
LEPVER,1,0,0,0,0
CYAAFF,1,0,0,0,0
ELAFLA,1,0,0,0,0
MEGCHO,2,0,0,0,0
GALRUF,2,0,0,0,0
PICIFO,2,0,0,0,0
TODCIN,2,0,0,0,0
HYLFLA,2,0,0,0,0
ARMCAJ,2,0,0,0,0
FURLEU,2,0,0,0,0
CROANY,2,0,0,0,0
VANCHI,2,0,0,0,0
MELRUB,2,0,0,0,0
JACJAC,2,0,0,0,0
SAKCAN,2,0,0,0,0
SYNCAN,2,0,0,0,0
ICTNIG,3,0,0,0,0
PORMAR,3,0,0,0,0
LEGLEU,3,0,0,0,0
PHIINF,3,0,0,0,0
HERCAC,3,0,0,0,0
CANLEU,3,0,0,0,0
CHACHA,3,0,0,0,0
THAMNO,3,0,0,0,0
CERNIG,4,0,0,0,0
NYCGRI,4,0,0,0,0
ATTSPA,5,0,0,0,0
FORGRI,5,0,0,0,0
PHEFAS,5,0,0,0,0
COLTAL,5,0,0,0,0
HENLEU,6,0,0,0,0
ARACAJ,6,0,0,0,0
TAPNAE,6,0,0,0,0
TROAED,10,0,0,0,0
XIPSUS,10,0,0,0,0
SALCOE,10,0,0,0,0
TYRMEL,12,0,0,0,0
RUPMAG,13,0,0,0,0
CROMAJ,17,0,0,0,0
FURNAR,17,0,0,0,0
MYI_SP,18,0,0,0,0
MOMSUB,19,0,0,0,0
ZENAUR,19,0,0,0,0
PSITTA,26,0,0,0,0
MILCHI,30,0,0,0,0
CRYSOU,34,0,0,0,0
PITSUL,46,0,0,0,0
PATCAY,53,0,0,0,0
NYCALB,54,0,0,0,0
ORT_SP,61,0,0,0,0
CAMGRY,73,0,0,0,0
