"group","indval","pvalue","freq","tf_bin"
"Bosque Ripario",0.696528735190498,0.001,95,"X401"
"Bosque Ripario",0.678439008462004,0.001,95,"X529"
"Bosque Ripario",0.640785266589572,0.001,87,"X273"
"Bosque Ripario",0.637279171850704,0.001,97,"X656"
"Bosque Ripario",0.612869282737296,0.001,112,"X403"
"Bosque Ripario",0.606669311644568,0.001,86,"X145"
"Bosque Ripario",0.602526385274262,0.001,92,"X400"
"Bosque Ripario",0.598368700773359,0.001,102,"X528"
"Bosque Ripario",0.598146140740148,0.001,108,"X275"
"Bosque Ripario",0.588282492889751,0.001,119,"X659"
"Bosque Ripario",0.579275062748071,0.001,115,"X531"
"Bosque Ripario",0.575426679242668,0.001,103,"X657"
"Bosque Ripario",0.57495869488367,0.001,105,"X147"
"Bosque Ripario",0.574742976496249,0.001,83,"X2961"
"Bosque Ripario",0.572592190335147,0.001,111,"X2968"
"Bosque Ripario",0.570933831823479,0.001,152,"X2324"
"Bosque Ripario",0.559574810512729,0.001,102,"X2963"
"Bosque Ripario",0.557138890101646,0.001,131,"X2196"
"Bosque Ripario",0.552338544971084,0.001,81,"X2705"
"Bosque Ripario",0.551137770468959,0.001,84,"X2577"
"Bosque Ripario",0.550693067606001,0.001,104,"X2067"
"Bosque Ripario",0.548253290150125,0.001,92,"X2707"
"Bosque Ripario",0.544745533823929,0.001,103,"X19"
"Bosque Ripario",0.543298897259705,0.001,78,"X17"
"Bosque Ripario",0.536642966452505,0.001,93,"X2835"
"Bosque Ripario",0.532642728989364,0.001,91,"X272"
"Bosque Ripario",0.52599843529875,0.001,82,"X2833"
"Bosque Ripario",0.522731784597653,0.001,114,"X152"
"Bosque Ripario",0.521343284473293,0.001,111,"X2195"
"Bosque Ripario",0.514859151713394,0.001,126,"X2332"
"Bosque Ripario",0.511309014210532,0.001,96,"X2323"
"Bosque Ripario",0.50988781776456,0.001,113,"X2068"
"Bosque Ripario",0.507936491310738,0.001,84,"X2449"
"Bosque Ripario",0.505509055709037,0.001,87,"X2972"
"Bosque Ripario",0.504494453832984,0.001,93,"X2579"
"Bosque Ripario",0.500708296305127,0.001,160,"X2452"
"Bosque Ripario",0.486594044602115,0.002,107,"X24"
"Bosque Ripario",0.481818011015595,0.001,84,"X2844"
"Bosque Ripario",0.474996130565581,0.002,90,"X663"
"Bosque Ripario",0.474734570790274,0.001,82,"X2451"
"Bosque Ripario",0.472605175300097,0.001,95,"X2840"
"Bosque Ripario",0.470014506320355,0.001,158,"X2964"
"Bosque Ripario",0.468845954428881,0.001,160,"X2580"
"Bosque Ripario",0.467486491057463,0.001,89,"X144"
"Bosque Ripario",0.459654030181866,0.001,92,"X2716"
"Bosque Ripario",0.458193243147817,0.005,129,"X280"
"Bosque Ripario",0.456925008890914,0.001,156,"X20"
"Bosque Ripario",0.45567233303911,0.001,157,"X2836"
"Bosque Ripario",0.453055739239149,0.001,155,"X2708"
"Bosque Ripario",0.451009543938503,0.001,159,"X254"
"Bosque Ripario",0.446535023500923,0.007,121,"X2216"
"Bosque Ripario",0.443254104440379,0.002,119,"X27"
"Bosque Ripario",0.443147586773944,0.003,128,"X2971"
"Bosque Ripario",0.442326782632373,0.005,109,"X2460"
"Bosque Ripario",0.43934773876985,0.002,157,"X148"
"Bosque Ripario",0.438877327499249,0.004,148,"X510"
"Bosque Ripario",0.438677325282754,0.001,91,"X28"
"Bosque Ripario",0.431698187877462,0.006,159,"X2339"
"Bosque Ripario",0.431541783803296,0.002,94,"X2588"
"Bosque Ripario",0.431315990764016,0.003,160,"X2603"
"Bosque Ripario",0.43069809663044,0.005,156,"X276"
"Bosque Ripario",0.427244084559028,0.009,144,"X2715"
"Bosque Ripario",0.425463589990563,0.007,118,"X536"
"Bosque Ripario",0.41977836873655,0.007,146,"X381"
"Bosque Ripario",0.419649216520034,0.009,159,"X404"
"Bosque Ripario",0.418887817258766,0.009,157,"X294"
"Bosque Ripario",0.41857682711754,0.01,131,"X2843"
"Bosque Ripario",0.411915807106771,0.016,154,"X2331"
"Bosque Ripario",0.40933055242817,0.014,151,"X382"
"Bosque Ripario",0.409298852522267,0.021,147,"X380"
"Bosque Ripario",0.40610739761358,0.023,165,"X2475"
"Bosque Ripario",0.404410333370841,0.023,151,"X422"
"Bosque Ripario",0.403954474474533,0.046,159,"X167"
"Bosque Ripario",0.401906774547886,0.004,102,"X664"
"Bosque Ripario",0.400606605640895,0.026,149,"X125"
"Bosque Ripario",0.398461538922584,0.01,99,"X156"
"Bosque Ripario",0.398061913869384,0.027,154,"X166"
"Bosque Ripario",0.397116750518627,0.034,151,"X2476"
"Bosque Ripario",0.393782183761787,0.03,153,"X126"
"Bosque Ripario",0.391655748552684,0.049,154,"X2731"
"Bosque Ripario",0.388946812373531,0.007,89,"X2712"
"Bosque Ripario",0.388310381080689,0.031,116,"X408"
"Bosque Ripario",0.388084654031122,0.008,86,"X1939"
"Bosque Ripario",0.384956727417011,0.04,131,"X43"
"Bosque Ripario",0.383795488603063,0.031,136,"X2604"
"Bosque Ripario",0.382373615527365,0.011,113,"X155"
"Bosque Ripario",0.381999073053314,0.024,121,"X2732"
"Bosque Ripario",0.371274735464835,0.011,103,"X2223"
"Bosque Ripario",0.369327480133162,0.008,80,"X23"
"Bosque Ripario",0.367966446830105,0.002,65,"X2200"
"Bosque Ripario",0.36677704440354,0.037,121,"X171"
"Bosque Ripario",0.366173643067607,0.024,103,"X411"
"Bosque Ripario",0.358629238387784,0.033,105,"X283"
"Bosque Ripario",0.353310336538713,0.027,96,"X787"
"Bosque Ripario",0.341060648122126,0.039,99,"X2605"
"Bosque Ripario",0.340294034347586,0.03,90,"X1940"
"Bosque Ripario",0.337768377935859,0.003,62,"X791"
"Bosque Ripario",0.332294973107381,0.016,71,"X2201"
"Bosque Ripario",0.331619339517925,0.024,79,"X279"
"Bosque Ripario",0.330399087996179,0.029,84,"X151"
"Bosque Ripario",0.329559761434827,0.037,90,"X915"
"Bosque Ripario",0.325313695161248,0.033,90,"X180"
"Bosque Ripario",0.312988272896616,0.027,78,"X407"
"Bosque Ripario",0.308635586648115,0.048,91,"X309"
"Bosque Ripario",0.304101215479187,0.032,71,"X2967"
"Bosque Ripario",0.301981427446624,0.036,76,"X2328"
"Bosque Ripario",0.290812175344721,0.034,74,"X16"
"Bosque Ripario",0.289148056512828,0.023,63,"X173"
"Bosque Ripario",0.283630885383879,0.047,71,"X46"
"Bosque Ripario",0.276176525952268,0.02,61,"X301"
"Bosque Ripario",0.261000664542997,0.045,61,"X2839"
"Bosque Ripario",0.257198418713452,0.018,50,"X429"
"Bosque Ripario",0.250836425812926,0.029,56,"X45"
"Bosque Ripario",0.221516556944253,0.04,47,"X530"
"Herbazales",0.55269618066695,0.001,76,"X932"
"Herbazales",0.533051944559254,0.001,82,"X1061"
"Herbazales",0.504986853487166,0.001,97,"X802"
"Herbazales",0.495034464846797,0.001,147,"X2728"
"Herbazales",0.493992741388073,0.002,78,"X2590"
"Herbazales",0.487907110438019,0.001,62,"X2229"
"Herbazales",0.480417718525729,0.001,76,"X30"
"Herbazales",0.476136140330165,0.001,54,"X669"
"Herbazales",0.473555775041147,0.001,83,"X1190"
"Herbazales",0.467133883447588,0.002,95,"X1191"
"Herbazales",0.465553521039701,0.001,94,"X801"
"Herbazales",0.456222593572398,0.002,105,"X2087"
"Herbazales",0.450405668669546,0.001,155,"X2473"
"Herbazales",0.449208178194896,0.001,79,"X803"
"Herbazales",0.444356638856534,0.004,102,"X1959"
"Herbazales",0.442558551848855,0.001,97,"X2355"
"Herbazales",0.440558490916902,0.003,152,"X2856"
"Herbazales",0.4395972144259,0.002,126,"X2660"
"Herbazales",0.435805513354037,0.003,101,"X2356"
"Herbazales",0.435617609713356,0.002,111,"X2086"
"Herbazales",0.434120574191847,0.004,151,"X2345"
"Herbazales",0.432510801099956,0.008,105,"X2336"
"Herbazales",0.431321744778447,0.002,94,"X2359"
"Herbazales",0.428126804687874,0.005,116,"X2406"
"Herbazales",0.425179302042299,0.004,90,"X2482"
"Herbazales",0.422902395510317,0.01,148,"X2344"
"Herbazales",0.420698597779047,0.02,154,"X2472"
"Herbazales",0.42004597899946,0.001,85,"X1062"
