,ID_MUES_PT,NOMBRE,N_COBERT,Dis_Palma,MDS1,MDS2,sensor_name_x,Cobertura_x,temporada,eventID,sensor_name_y,decimalLat,decimalLon,Tipo,Dis_CP,Dis_Oleodu,Dis_Pozo,Dis_Pozact,Dis_Ferroc,Dis_Kale,Dis_Plater,DisBosque,Dis_CobNat,Dis_Cienag,Dis_MGSG,Dis_Dre345,UCSuelo,Cobertura_y,Tam_Parche,Plataf,Dis_PlatEf,Dis_ViaPri,Dia_ViaSec,Presión sonora 1,Presión sonora 2,Presión sonora 3,Presión sonora 4
0,ANH_64,G001,Palma,0.0,-0.330599518172812,0.0743531116531542,G001,Palma,T1,ANH_64,G001,7.372222222,-73.86297222,PE,3651.165653,147.5945421,2669.762843,2669.762843,4643.993171,98.17447588,11254.11352,219.1211355,219.1211355,2256.67977,4042.636346,1905.234336,PVAa,Palma,632.8655735,Kale,98.17447588,3670.577619,2825.992615,54.8,45.8,40.1,39.8
1,ANH_166,G002,Herbazales,402.599452951,-0.468478331191221,-0.182795267895892,G002,Herbazales,T1,ANH_166,G002,7.407027778,-73.86494444,PE,2980.061934,242.875929,1478.285954,1478.285954,7905.917355,2850.696554,15044.19784,134.9217211,0.0,5424.950961,3038.465892,1511.740237,RVAa,Herbazales,11.19854968,Kale,2850.696554,2789.887002,4856.86318,38.5,54.4,63.9,55.5
2,ANH_215,G003,Bosque Ripario,14.4925219844,-0.0619008090905723,-0.01325740887258,G003,Bosque Ripario,T1,ANH_215,G003,7.356083334,-73.76063889,PE,3543.343207,305.1813893,2759.363413,11132.5371,1194.253227,9269.709086,16050.04996,0.0,0.0,7239.387538,11897.53148,58.81848298,PVBc2,Bosque Ripario,183.6687616,Caracterizacion,9269.709086,3401.818205,6417.346726,54.2,45.5,37.4,38.5
3,ANH_229,G004,Palma,0.0,-0.0959562017789646,-0.0387650191160913,G004,Palma,T1,ANH_229,G004,7.334694445,-73.85297222,PE,1322.118285,1229.610687,6604.903704,6604.903704,612.7011298,2835.100508,7531.089606,0.398900379,0.398900379,3072.797565,5832.60679,145.8542606,PVAa,Palma,118.6356076,Kale,2835.100508,737.4747466,1318.614971,61.4,54.7,51.4,47.5
4,ANH_393,G006,Bosque Ripario,124.581832968,0.318725263406989,-0.568387546688037,G006,Bosque Ripario,T1,ANH_393,G006,7.340527778,-73.72497222,PE,2037.016297,348.0967728,1912.56534,7632.928228,812.8682816,13375.76369,18623.69831,0.0,0.0,10665.10733,9251.902915,3736.837533,LVBd2,Bosque Ripario,464.8329216,Caracterizacion,13375.76369,2156.675292,7563.723313,39.3,47.5,43.5,37.8
5,ANH_38,G007,Pastos,143.331790387,-0.460515994961007,0.011674541960035,G007,Pastos,T1,ANH_38,G007,7.249222222,-73.89530556,PE,5314.160071,7571.775109,868.5998058,868.5998058,9216.77044,12828.29598,530.5979418,842.818914,13.04459029,2492.534967,2323.477291,8569.226017,PVAa,Pastos,29.35293825,Platero,530.5979418,6833.306189,3912.901735,47.6,51.2,48.5,49.4
6,ANH_211,G008,Palma,0.0,-0.692742264607544,-0.101742878871428,G008,Palma,T1,ANH_211,G008,7.381027778,-73.80144444,PE,4888.154847,3931.784754,6097.694587,6097.694587,3443.652287,4751.33739,14809.1944,119.0513753,119.0513753,4418.56716,10551.67189,1227.780704,PVAa,Palma,34.48738537,Kale,4751.33739,6321.079547,1872.692012,37.9,37.9,55.7,43.6
7,ANH_99,G010,Bosque Ripario,169.383221448,0.219502192552711,0.631575327316182,G010,Bosque Ripario,T1,ANH_99,G010,7.2305,-73.83025,PE,1401.19167,148.691192,3092.537331,3457.591691,4135.871816,14437.67856,5973.866894,0.0,0.0,8313.800537,6.544004565,7475.357234,PVAa,Bosque Ripario,42.53882457,Platero,5973.866894,432.4962352,651.1113657,50.6,52.7,57.1,49.8
8,ANH_290,G011,Bosque Ripario,15.8998920685,0.609315914638753,0.32304559383191,G011,Bosque Ripario,T1,ANH_290,G011,7.324361111,-73.74205556,PE,514.9419788,753.4287781,2312.627166,7124.954296,455.8482269,11987.31188,16194.5083,0.0,0.0,11261.52593,7885.72861,3272.402693,PVBc2,Bosque Ripario,73.69436585,Caracterizacion,11987.31188,51.96264394,6817.366721,57.3,50.6,64.1,55.2
9,ANH_221,G012,Palma,0.0,-0.277053472309203,-0.937582626313462,G012,Palma,T1,ANH_221,G012,7.306722222,-73.84922222,PE,2368.9593,2043.991169,4767.7963,7394.15757,2448.727371,5925.654852,5072.988122,249.7808356,249.7808356,4549.714032,6674.366482,942.5847574,PVAa,Palma,855.9869562,Platero,5072.988122,2044.52146,2433.652549,53.5,45.9,51.0,51.3
